Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:07:34.651,COM12,, 0.3652, -0.8716, 0.3408, -0.1831, 0.1831, 0.0000, -68.203, -20.841, 35.667, -40.387, 110.327, -34.380, 30.13,,,,,,,,,,,,,,,,
 22:07:34.746,COM12,, 0.3550, -0.8750, 0.3369, 0.4883, 1.5259, 0.7935, -68.225, -20.830, 35.623, -40.453, 110.413, -34.067, 30.08,,,,,,,,,,,,,,,,
 22:07:34.865,COM12,, 0.4014, -0.8823, 0.3389, -3.3569, 1.0986, 4.8828, -68.423, -20.446, 35.596, -40.547, 109.320, -34.040, 30.08,,,,,,,,,,,,,,,,
 22:07:34.943,COM12,, 0.3833, -0.8940, 0.3330, -9.7046, 10.4980, 2.0752, -69.346, -19.819, 35.574, -40.873, 108.540, -33.280, 30.10,,,,,,,,,,,,,,,,
 22:07:35.056,COM12,, 0.3228, -0.9102, 0.4077, 36.4990, 3.2959, -19.0430, -68.132, -19.704, 34.568, -40.673, 95.793, -36.853, 30.08,,,,,,,,,,,,,,,,
 22:07:35.136,COM12,, 0.3584, -0.8203, 0.3774, 4.2725, -5.8594, -2.1362, -66.264, -20.858, 33.975, -39.627, 75.707, -42.273, 30.07,,,,,,,,,,,,,,,,
 22:07:35.246,COM12,, 0.3452, -0.8701, 0.3384, 1.2817, -0.9155, 1.5259, -65.858, -21.061, 34.365, -41.487, 69.287, -44.887, 30.11,,,,,,,,,,,,,,,,
 22:07:35.359,COM12,, 0.3892, -0.8354, 0.3735, -2.8076, 2.5635, -0.6714, -65.742, -21.088, 34.261, -42.393, 70.727, -45.860, 30.08,,,,,,,,,,,,,,,,
 22:07:35.440,COM12,, 0.3560, -0.8608, 0.4043, 6.4697, 5.9204, -5.9204, -65.413, -21.055, 33.541, -43.067, 79.527, -46.280, 30.05,,,,,,,,,,,,,,,,
 22:07:35.535,COM12,, 0.3774, -0.8472, 0.3818, 2.5635, 5.2490, -7.0801, -64.984, -21.374, 32.871, -44.433, 84.833, -47.347, 30.11,,,,,,,,,,,,,,,,
 22:07:35.644,COM12,, 0.3721, -0.8330, 0.4043, 0.3662, 5.4932, -6.8359, -64.276, -21.901, 31.871, -45.040, 84.753, -48.920, 30.10,,,,,,,,,,,,,,,,
 22:07:35.740,COM12,, 0.3867, -0.8296, 0.4063, 0.3662, 6.7749, -6.5308, -63.913, -22.231, 30.916, -44.827, 83.693, -49.560, 30.10,,,,,,,,,,,,,,,,
 22:07:35.834,COM12,, 0.4087, -0.8306, 0.4058, 10.0098, 5.9814, -14.4653, -63.210, -22.786, 29.674, -44.160, 83.213, -50.727, 30.11,,,,,,,,,,,,,,,,
 22:07:35.945,COM12,, 0.4106, -0.7358, 0.3984, 35.7666, -35.9497, 6.1646, -60.969, -24.005, 30.262, -41.700, 79.167, -51.520, 30.13,,,,,,,,,,,,,,,,
 22:07:36.041,COM12,, 0.4272, -0.8071, 0.5127, 26.0010, -42.6025, -7.4463, -59.799, -26.938, 35.431, -49.433, 72.573, -46.740, 30.11,,,,,,,,,,,,,,,,
 22:07:36.137,COM12,, 0.4116, -0.6812, 0.4849, -22.0337, 11.0474, 7.6294, -59.810, -27.543, 36.524, -55.167, 68.980, -42.767, 30.10,,,,,,,,,,,,,,,,
 22:07:36.234,COM12,, 0.4131, -0.8716, 0.3594, -62.3169, 32.1655, 16.1743, -64.693, -24.587, 34.893, -53.333, 79.760, -41.133, 30.08,,,,,,,,,,,,,,,,
 22:07:36.364,COM12,, 0.5186, -0.8428, 0.2930, 8.7280, 19.2261, -3.1128, -65.869, -23.115, 32.190, -36.507, 85.633, -40.980, 30.08,,,,,,,,,,,,,,,,
 22:07:36.444,COM12,, 0.4941, -0.7129, 0.5972, 43.2129, 20.8740, -41.9312, -61.859, -24.428, 29.734, -21.507, 80.267, -45.847, 30.08,,,,,,,,,,,,,,,,
 22:07:36.540,COM12,, 0.4624, -0.6743, 0.5605, 2.8076, 7.0190, -21.6675, -60.447, -25.944, 27.537, -22.620, 76.820, -48.593, 30.08,,,,,,,,,,,,,,,,
 22:07:36.636,COM12,, 0.5073, -0.8438, 0.3379, -38.2690, -29.1138, -10.0708, -62.551, -28.444, 28.812, -53.887, 72.540, -55.907, 30.05,,,,,,,,,,,,,,,,
 22:07:36.733,COM12,, 0.4619, -0.9551, 0.2568, -12.4512, -9.9487, 10.0708, -66.270, -28.801, 30.927, -102.660, 53.320, -72.067, 30.07,,,,,,,,,,,,,,,,
 22:07:36.867,COM12,, 0.4380, -0.8096, 0.3486, -15.0146, -3.0518, 15.1978, -67.555, -27.405, 31.926, -113.493, 52.547, -74.400, 30.07,,,,,,,,,,,,,,,,
 22:07:36.932,COM12,, 0.4692, -0.8735, 0.2925, -7.5073, -6.4697, 7.8735, -69.291, -26.417, 32.981, -116.987, 56.607, -73.653, 30.08,,,,,,,,,,,,,,,,
 22:07:37.042,COM12,, 0.4478, -0.8364, 0.3164, 10.6812, 3.6621, -0.6714, -68.730, -26.257, 32.997, -117.300, 65.893, -72.987, 30.07,,,,,,,,,,,,,,,,
 22:07:37.137,COM12,, 0.4390, -0.8228, 0.3223, -6.7749, 0.0610, 3.1738, -68.698, -26.021, 32.910, -112.180, 69.360, -70.847, 30.08,,,,,,,,,,,,,,,,
 22:07:37.232,COM12,, 0.4385, -0.8477, 0.3105, 3.6011, 1.8311, -1.2817, -68.873, -25.955, 32.866, -112.693, 69.360, -71.000, 30.10,,,,,,,,,,,,,,,,
 22:07:37.342,COM12,, 0.4453, -0.8188, 0.3271, 2.6855, 2.0142, -0.9766, -68.461, -26.005, 32.596, -112.640, 71.413, -71.567, 30.10,,,,,,,,,,,,,,,,
 22:07:37.444,COM12,, 0.4482, -0.8521, 0.3125, -1.2817, -0.0610, 0.0000, -68.714, -26.038, 32.569, -114.053, 73.567, -72.427, 30.07,,,,,,,,,,,,,,,,
