Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:08:22.739,COM12,, 0.3628, -0.8711, 0.3335, -0.4272, 0.1221, 0.4272, -69.077, -21.583, 27.982, -124.747, 86.453, -46.160, 29.89,,,,,,,,,,,,,,,,
 22:08:22.834,COM12,, 0.3735, -0.8682, 0.3369, -0.0610, 0.6104, 0.0610, -69.060, -21.566, 27.955, -124.513, 86.033, -46.340, 29.90,,,,,,,,,,,,,,,,
 22:08:22.930,COM12,, 0.3716, -0.8779, 0.3320, -0.3662, 0.1831, 0.7935, -69.093, -21.555, 27.949, -124.400, 84.940, -46.333, 29.90,,,,,,,,,,,,,,,,
 22:08:23.025,COM12,, 0.3613, -0.8647, 0.3423, -5.1880, 0.5493, 5.3711, -69.230, -21.319, 28.015, -121.813, 82.327, -45.253, 29.90,,,,,,,,,,,,,,,,
 22:08:23.138,COM12,, 0.3398, -0.8896, 0.3159, -8.7891, 7.2632, 7.1411, -70.049, -20.726, 28.087, -116.813, 76.393, -44.093, 29.90,,,,,,,,,,,,,,,,
 22:08:23.233,COM12,, 0.3252, -0.8926, 0.3110, -29.2358, 0.4883, -3.7842, -71.642, -20.566, 27.900, -110.127, 64.200, -46.160, 29.92,,,,,,,,,,,,,,,,
 22:08:23.328,COM12,, 0.2954, -0.9551, 0.2446, -14.0991, -5.4321, 8.2397, -73.625, -20.396, 28.246, -99.967, 49.427, -49.893, 29.87,,,,,,,,,,,,,,,,
 22:08:23.423,COM12,, 0.3311, -0.8970, 0.1689, -2.8687, -3.8452, 6.3477, -74.564, -19.836, 28.702, -84.800, 45.140, -46.827, 29.92,,,,,,,,,,,,,,,,
 22:08:23.534,COM12,, 0.3638, -0.8242, 0.2881, 11.0474, -31.5552, -0.2441, -74.339, -19.374, 29.372, -73.940, 52.467, -42.687, 29.89,,,,,,,,,,,,,,,,
 22:08:23.631,COM12,, 0.3638, -0.9370, 0.2666, 16.1743, 8.6670, -15.1978, -73.746, -20.325, 30.355, -71.840, 65.427, -42.367, 29.87,,,,,,,,,,,,,,,,
