Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:10:06.989,COM12,, 0.4004, -0.8984, 0.3394, -8.5449, -0.9766, 6.8359, -70.554, -21.259, -75.416, -126.047, 122.047, -28.093, 29.83,,,,,,,,,,,,,,,,
 22:10:07.089,COM12,, 0.2896, -0.9727, 0.3032, -50.1709, -1.6479, 9.1553, -73.900, -20.446, -75.075, -118.653, 109.593, -27.040, 29.81,,,,,,,,,,,,,,,,
 22:10:07.183,COM12,, 0.3071, -0.8999, 0.1108, -29.4800, 9.7046, -4.8828, -78.387, -19.078, -75.745, -107.073, 93.947, -29.507, 29.84,,,,,,,,,,,,,,,,
 22:10:07.280,COM12,, 0.3262, -0.9136, 0.1934, 28.0151, 2.0142, -16.5405, -77.646, -20.017, -76.289, -109.133, 92.393, -33.173, 29.81,,,,,,,,,,,,,,,,
 22:10:07.390,COM12,, 0.3799, -0.9712, 0.1255, 11.1084, -12.0850, -6.5918, -76.910, -20.649, -75.795, -110.920, 107.453, -32.360, 29.87,,,,,,,,,,,,,,,,
 22:10:07.485,COM12,, 0.3213, -0.9365, 0.2095, 7.4463, -35.2173, -4.3335, -77.514, -21.665, -71.554, -99.240, 118.653, -15.980, 29.81,,,,,,,,,,,,,,,,
 22:10:07.581,COM12,, 0.4282, -0.8706, 0.1948, 33.9966, -11.9629, -5.0049, -74.982, -22.396, -69.175, -75.873, 117.933, -6.720, 29.84,,,,,,,,,,,,,,,,
 22:10:07.675,COM12,, 0.4014, -0.8418, 0.3706, 23.0103, 58.4106, -31.4941, -71.642, -23.538, -71.697, -55.747, 111.193, -8.213, 29.83,,,,,,,,,,,,,,,,
 22:10:07.786,COM12,, 0.4536, -0.8071, 0.2886, 11.6577, 28.8086, -12.2681, -68.401, -23.851, -76.426, -41.533, 106.993, -13.720, 29.86,,,,,,,,,,,,,,,,
 22:10:07.882,COM12,, 0.4448, -0.8486, 0.3564, 35.4614, 14.4653, -13.1836, -65.583, -24.648, -78.426, -31.047, 105.873, -21.193, 29.84,,,,,,,,,,,,,,,,
 22:10:07.977,COM12,, 0.4727, -0.8071, 0.4458, 25.2075, 10.6201, -15.7471, -61.990, -25.296, -80.250, -28.940, 100.453, -29.220, 29.87,,,,,,,,,,,,,,,,
 22:10:08.092,COM12,, 0.5679, -0.7515, 0.4985, 11.5967, 4.6997, -8.4839, -58.969, -26.938, -82.590, -29.093, 96.333, -34.853, 29.86,,,,,,,,,,,,,,,,
 22:10:08.188,COM12,, 0.4751, -0.6187, 0.4678, 10.5591, -24.4751, -18.5547, -57.590, -29.614, -81.815, -35.087, 92.800, -36.540, 29.84,,,,,,,,,,,,,,,,
 22:10:08.276,COM12,, 0.5137, -0.7983, 0.4336, -0.6714, -13.4888, -5.7373, -58.129, -32.108, -80.167, -56.800, 94.820, -32.067, 29.84,,,,,,,,,,,,,,,,
 22:10:08.373,COM12,, 0.5498, -0.7920, 0.4536, -48.9502, 3.9063, 19.8364, -61.089, -31.641, -79.102, -73.607, 103.773, -24.367, 29.84,,,,,,,,,,,,,,,,
 22:10:08.486,COM12,, 0.5444, -0.7930, 0.3462, -37.5977, 23.4375, -0.6714, -66.066, -29.202, -79.459, -69.067, 117.060, -16.640, 29.84,,,,,,,,,,,,,,,,
 22:10:08.580,COM12,, 0.4941, -0.8213, 0.3169, -2.3193, 31.3721, -28.1372, -65.825, -29.603, -83.710, -68.720, 123.687, -13.840, 29.86,,,,,,,,,,,,,,,,
 22:10:08.675,COM12,, 0.5518, -0.7632, 0.3823, 27.0386, 0.4272, 3.6621, -63.056, -30.218, -86.353, -72.413, 117.847, -16.753, 29.83,,,,,,,,,,,,,,,,
 22:10:08.786,COM12,, 0.5107, -0.7827, 0.3906, 25.8789, -16.7847, 4.5776, -61.342, -30.504, -84.853, -72.507, 106.460, -19.613, 29.84,,,,,,,,,,,,,,,,
 22:10:08.881,COM12,, 0.5005, -0.7568, 0.4907, 16.6016, -8.9111, 2.3804, -60.227, -30.740, -83.458, -78.360, 95.060, -20.647, 29.84,,,,,,,,,,,,,,,,
 22:10:08.976,COM12,, 0.5088, -0.6763, 0.4849, -23.2544, -11.0474, 5.0049, -60.441, -30.894, -82.804, -81.540, 90.567, -20.227, 29.83,,,,,,,,,,,,,,,,
 22:10:09.071,COM12,, 0.4932, -0.8398, 0.2915, -56.7627, -19.5313, 36.9263, -66.819, -29.888, -79.590, -82.900, 102.420, -12.547, 29.86,,,,,,,,,,,,,,,,
 22:10:09.184,COM12,, 0.4761, -0.8457, 0.2461, -0.3052, -4.1504, 7.2021, -70.582, -28.339, -77.151, -82.800, 118.080, -1.827, 29.84,,,,,,,,,,,,,,,,
 22:10:09.279,COM12,, 0.4888, -0.8271, 0.2729, -3.4180, -1.9531, 3.9673, -70.653, -28.224, -76.871, -82.960, 121.520, 0.773, 29.87,,,,,,,,,,,,,,,,
 22:10:09.374,COM12,, 0.4829, -0.8472, 0.2671, 3.6011, 1.1597, -0.7935, -70.906, -28.021, -76.657, -83.040, 123.233, 1.753, 29.84,,,,,,,,,,,,,,,,
 22:10:09.471,COM12,, 0.4756, -0.8340, 0.2803, 0.9155, 1.7700, 0.8545, -70.637, -28.092, -76.767, -83.493, 123.253, 1.660, 29.87,,,,,,,,,,,,,,,,
 22:10:09.584,COM12,, 0.4756, -0.8389, 0.2773, 1.8921, 0.7324, -0.1221, -70.499, -28.070, -76.910, -83.640, 123.040, 1.367, 29.86,,,,,,,,,,,,,,,,
 22:10:09.681,COM12,, 0.4839, -0.8350, 0.2773, 0.0000, -3.5400, 2.0142, -70.609, -28.081, -76.663, -83.820, 123.413, 1.667, 29.87,,,,,,,,,,,,,,,,
 22:10:09.777,COM12,, 0.4800, -0.8335, 0.2754, 1.9531, 3.2959, -1.8921, -70.461, -28.136, -76.811, -83.607, 123.687, 1.580, 29.84,,,,,,,,,,,,,,,,
