Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:05:28.395,COM12,, 0.4019, -0.8833, 0.2231, 0.0000, -0.5493, -0.1221, -75.756, -24.236, 129.924, -10.153, 37.300, -15.700, 25.80,,,,,,,,,,,,,,,,
 13:05:28.490,COM12,, 0.4058, -0.8745, 0.2227, 0.3052, -0.1831, 0.1831, -75.778, -24.258, 130.045, -10.193, 37.233, -15.807, 25.76,,,,,,,,,,,,,,,,
 13:05:28.585,COM12,, 0.4287, -0.8901, 0.2178, 0.5493, -1.4038, -0.4883, -75.795, -24.285, 130.166, -10.200, 37.313, -15.840, 25.78,,,,,,,,,,,,,,,,
 13:05:28.695,COM12,, 0.4360, -0.8843, 0.2217, 0.7935, 0.9766, -1.8311, -75.646, -24.384, 130.172, -10.180, 37.193, -15.853, 25.76,,,,,,,,,,,,,,,,
 13:05:28.789,COM12,, 0.4141, -0.8892, 0.2417, 0.6714, 0.0610, -2.8687, -75.454, -24.543, 130.161, -10.293, 37.033, -16.073, 25.75,,,,,,,,,,,,,,,,
 13:05:28.884,COM12,, 0.4150, -0.8618, 0.2437, 0.3662, 0.1221, -0.2441, -75.256, -24.582, 130.106, -10.213, 36.887, -16.200, 25.78,,,,,,,,,,,,,,,,
 13:05:28.994,COM12,, 0.4409, -0.8740, 0.2197, -0.7324, 0.6714, -4.5166, -75.361, -24.763, 130.018, -10.287, 36.873, -16.127, 25.78,,,,,,,,,,,,,,,,
 13:05:29.091,COM12,, 0.4282, -0.8799, 0.2490, 0.3662, -1.5259, -1.6479, -75.284, -25.181, 130.084, -10.400, 36.707, -16.240, 25.75,,,,,,,,,,,,,,,,
 13:05:29.186,COM12,, 0.4248, -0.8604, 0.2378, 0.2441, -2.0752, -2.5635, -75.218, -25.345, 130.012, -10.413, 36.693, -16.367, 25.76,,,,,,,,,,,,,,,,
 13:05:29.282,COM12,, 0.4385, -0.8682, 0.2329, 0.2441, 0.6104, 0.3052, -75.223, -25.340, 130.018, -10.493, 36.673, -16.000, 25.78,,,,,,,,,,,,,,,,
 13:05:29.393,COM12,, 0.4258, -0.8853, 0.2310, 0.0000, 1.1597, 0.0000, -75.190, -25.307, 129.919, -10.480, 36.593, -16.107, 25.81,,,,,,,,,,,,,,,,
 13:05:29.487,COM12,, 0.4316, -0.8774, 0.2310, -0.1831, 0.0000, 1.2817, -75.163, -25.291, 129.814, -10.413, 36.673, -16.307, 25.75,,,,,,,,,,,,,,,,
 13:05:29.581,COM12,, 0.4233, -0.8779, 0.2324, 0.0000, -1.0376, 2.9297, -75.251, -25.175, 129.979, -10.453, 36.680, -16.253, 25.80,,,,,,,,,,,,,,,,
 13:05:29.690,COM12,, 0.4287, -0.8828, 0.2251, -0.0610, -0.3052, 0.3662, -75.421, -25.010, 130.144, -10.507, 36.733, -16.293, 25.81,,,,,,,,,,,,,,,,
 13:05:29.788,COM12,, 0.4292, -0.8813, 0.2285, 0.3052, 0.1221, -0.3662, -75.443, -24.961, 130.248, -10.453, 36.767, -16.373, 25.78,,,,,,,,,,,,,,,,
 13:05:29.882,COM12,, 0.4146, -0.8770, 0.2256, -3.9063, 0.1831, 0.4883, -75.449, -25.087, 130.210, -10.373, 36.700, -16.187, 25.75,,,,,,,,,,,,,,,,
 13:05:29.991,COM12,, 0.4268, -0.8784, 0.2192, 0.2441, 0.4272, -0.8545, -75.641, -25.098, 130.292, -10.493, 36.827, -16.107, 25.76,,,,,,,,,,,,,,,,
 13:05:30.086,COM12,, 0.4116, -0.8794, 0.2256, -0.1221, 0.0000, -0.7935, -75.641, -25.120, 130.402, -10.513, 36.773, -16.213, 25.78,,,,,,,,,,,,,,,,
 13:05:30.180,COM12,, 0.4360, -0.8667, 0.2144, -0.2441, -0.2441, -0.6104, -75.597, -25.115, 130.507, -10.553, 36.813, -16.173, 25.76,,,,,,,,,,,,,,,,
 13:05:30.289,COM12,, 0.4312, -0.8745, 0.2329, -1.1597, 0.0610, 0.4883, -75.619, -25.208, 130.605, -10.540, 36.747, -15.920, 25.76,,,,,,,,,,,,,,,,
 13:05:30.383,COM12,, 0.4214, -0.8774, 0.2290, 0.4272, 0.1221, -0.3662, -75.619, -25.236, 130.573, -10.560, 36.780, -16.020, 25.76,,,,,,,,,,,,,,,,
 13:05:30.477,COM12,, 0.4561, -0.8809, 0.2153, -2.1362, 2.5635, -1.7090, -75.641, -25.323, 130.364, -10.667, 36.733, -16.033, 25.81,,,,,,,,,,,,,,,,
 13:05:30.588,COM12,, 0.4048, -0.8950, 0.2300, -1.4648, 1.0986, -1.2817, -75.718, -25.400, 130.298, -10.547, 36.813, -16.260, 25.81,,,,,,,,,,,,,,,,
 13:05:30.682,COM12,, 0.4287, -0.8716, 0.2119, -3.7231, -2.7466, -1.7090, -76.130, -25.439, 130.265, -10.713, 36.940, -15.933, 25.78,,,,,,,,,,,,,,,,
 13:05:30.776,COM12,, 0.4507, -0.8809, 0.1958, -4.3335, 1.5259, -3.1738, -76.339, -25.752, 130.051, -10.840, 36.927, -15.860, 25.75,,,,,,,,,,,,,,,,
 13:05:30.887,COM12,, 0.4346, -0.8818, 0.2192, 0.3052, 8.4839, -2.3804, -76.130, -25.878, 129.628, -10.987, 36.880, -15.853, 25.75,,,,,,,,,,,,,,,,
 13:05:30.981,COM12,, 0.4209, -0.8628, 0.2275, 7.6904, 6.9580, 1.3428, -75.267, -25.637, 129.249, -10.800, 36.787, -16.367, 25.76,,,,,,,,,,,,,,,,
 13:05:31.075,COM12,, 0.4175, -0.8701, 0.2212, 6.7749, 7.6904, -6.4697, -74.498, -25.768, 128.864, -10.620, 36.553, -16.567, 25.76,,,,,,,,,,,,,,,,
 13:05:31.185,COM12,, 0.4512, -0.8701, 0.2256, -1.6479, 0.6714, -2.8687, -73.894, -25.955, 128.677, -10.487, 36.327, -17.040, 25.78,,,,,,,,,,,,,,,,
