Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:55:29.878,COM12,, 0.4175, -0.7036, 0.5659, -2.3193, -3.5400, 2.4414, -51.487, -26.845, 87.358, -5.080, 31.580, -25.513, 25.61,,,,,,,,,,,,,,,,
 13:55:29.972,COM12,, 0.4639, -0.6870, 0.5220, -1.2817, -0.6714, -1.0986, -51.960, -26.878, 87.858, -5.113, 31.573, -25.313, 25.60,,,,,,,,,,,,,,,,
 13:55:30.082,COM12,, 0.4307, -0.7070, 0.5576, -2.3804, -0.0610, 1.0376, -51.954, -26.917, 87.940, -5.240, 31.627, -25.280, 25.60,,,,,,,,,,,,,,,,
 13:55:30.177,COM12,, 0.4609, -0.7026, 0.5298, 1.6479, 1.5869, -0.3052, -52.207, -26.757, 88.171, -5.207, 31.893, -25.040, 25.57,,,,,,,,,,,,,,,,
 13:55:30.272,COM12,, 0.4478, -0.7090, 0.5483, 1.0986, 0.8545, 0.1221, -52.037, -26.702, 88.231, -5.073, 31.900, -25.180, 25.61,,,,,,,,,,,,,,,,
 13:55:30.381,COM12,, 0.4688, -0.7104, 0.5410, 2.5635, 0.5493, -2.6855, -51.833, -26.840, 88.204, -4.867, 31.760, -25.027, 25.61,,,,,,,,,,,,,,,,
 13:55:30.475,COM12,, 0.4380, -0.6694, 0.5986, -1.2207, -0.1831, -4.0894, -51.487, -27.147, 88.165, -4.773, 31.540, -25.007, 25.61,,,,,,,,,,,,,,,,
 13:55:30.569,COM12,, 0.4336, -0.7480, 0.5176, -1.3428, 6.6528, -2.7466, -52.218, -27.356, 87.594, -4.787, 31.807, -24.673, 25.58,,,,,,,,,,,,,,,,
 13:55:30.680,COM12,, 0.4692, -0.6611, 0.5688, 31.7383, 9.5215, -8.7891, -49.922, -27.224, 86.765, -4.220, 31.113, -24.900, 25.60,,,,,,,,,,,,,,,,
 13:55:30.773,COM12,, 0.4531, -0.6558, 0.5850, 8.7891, 5.7373, -0.3052, -48.521, -26.977, 86.385, -3.513, 30.353, -25.193, 25.58,,,,,,,,,,,,,,,,
 13:55:30.867,COM12,, 0.4341, -0.5850, 0.6465, 14.4653, -1.8921, 9.1553, -47.225, -26.565, 86.490, -2.813, 29.793, -25.373, 25.61,,,,,,,,,,,,,,,,
 13:55:30.975,COM12,, 0.4453, -0.6885, 0.5850, 6.2256, -1.8311, 7.5073, -46.983, -26.147, 87.001, -2.447, 29.587, -25.280, 25.60,,,,,,,,,,,,,,,,
 13:55:31.068,COM12,, 0.4150, -0.6245, 0.6724, 14.5874, 9.3384, 9.2163, -45.648, -25.345, 86.990, -1.827, 29.140, -25.367, 25.61,,,,,,,,,,,,,,,,
 13:55:31.177,COM12,, 0.4175, -0.6206, 0.6592, 7.0190, 0.5493, 7.6294, -44.929, -24.230, 87.111, -1.053, 28.673, -25.513, 25.58,,,,,,,,,,,,,,,,
 13:55:31.270,COM12,, 0.4141, -0.6406, 0.6631, -0.8545, -1.0986, 0.7935, -44.830, -24.104, 87.122, -0.773, 28.393, -25.647, 25.64,,,,,,,,,,,,,,,,
 13:55:31.364,COM12,, 0.3794, -0.6406, 0.6650, 2.9297, 1.5259, 2.5635, -44.775, -24.049, 86.880, -0.593, 28.360, -25.800, 25.61,,,,,,,,,,,,,,,,
 13:55:31.473,COM12,, 0.3940, -0.6274, 0.6519, 4.6387, 0.9155, 3.5400, -44.368, -23.577, 86.808, -0.527, 28.240, -25.887, 25.61,,,,,,,,,,,,,,,,
 13:55:31.566,COM12,, 0.3931, -0.6411, 0.6626, 2.0142, -0.5493, 2.3804, -44.039, -23.313, 86.594, -0.307, 28.100, -25.867, 25.63,,,,,,,,,,,,,,,,
 13:55:31.676,COM12,, 0.4009, -0.6416, 0.6660, -0.5493, -0.3052, 0.0000, -44.017, -23.253, 86.375, -0.193, 28.020, -25.820, 25.61,,,,,,,,,,,,,,,,
 13:55:31.770,COM12,, 0.3892, -0.6392, 0.6694, 0.3662, 0.6104, 0.4272, -44.044, -23.258, 86.072, -0.087, 27.960, -25.693, 25.61,,,,,,,,,,,,,,,,
 13:55:31.865,COM12,, 0.3936, -0.6353, 0.6641, -0.4883, 0.4272, -0.9155, -44.055, -23.253, 85.699, -0.100, 28.047, -25.733, 25.60,,,,,,,,,,,,,,,,
 13:55:31.973,COM12,, 0.3970, -0.6211, 0.6753, -1.0986, -0.6104, -1.4038, -44.028, -23.307, 85.314, -0.193, 28.093, -25.780, 25.60,,,,,,,,,,,,,,,,
 13:55:32.067,COM12,, 0.3979, -0.6509, 0.6592, -0.9155, 0.3662, -0.9155, -44.055, -23.428, 84.864, -0.253, 28.213, -25.773, 25.63,,,,,,,,,,,,,,,,
 13:55:32.176,COM12,, 0.3975, -0.6572, 0.6616, 0.0000, -0.3052, 0.0000, -44.055, -23.467, 84.496, -0.233, 28.160, -25.793, 25.61,,,,,,,,,,,,,,,,
 13:55:32.270,COM12,, 0.4058, -0.6465, 0.6641, 5.6152, -2.1362, 4.8218, -43.923, -23.450, 84.424, -0.153, 28.107, -25.827, 25.61,,,,,,,,,,,,,,,,
 13:55:32.363,COM12,, 0.3989, -0.5703, 0.7012, 7.9346, -2.5635, 3.1128, -43.116, -23.340, 84.710, -0.067, 27.680, -25.807, 25.60,,,,,,,,,,,,,,,,
 13:55:32.473,COM12,, 0.3965, -0.6230, 0.6714, 0.3052, -5.3101, 1.5869, -43.033, -23.467, 84.842, -0.133, 27.353, -25.747, 25.60,,,,,,,,,,,,,,,,
 13:55:32.567,COM12,, 0.4268, -0.6284, 0.6680, 0.1221, -10.4980, 4.2114, -43.176, -23.730, 85.270, -0.313, 27.400, -25.720, 25.61,,,,,,,,,,,,,,,,
 13:55:32.675,COM12,, 0.4180, -0.6191, 0.6729, 2.8076, -14.7095, 4.8218, -43.654, -24.384, 86.413, -0.673, 27.500, -25.487, 25.58,,,,,,,,,,,,,,,,
 13:55:32.770,COM12,, 0.4429, -0.5977, 0.6636, 2.3804, -11.5356, -0.5493, -43.742, -25.285, 86.902, -1.180, 27.200, -25.193, 25.63,,,,,,,,,,,,,,,,
