Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:10:21.184,COM12,, 0.4258, -0.8755, 0.2539, 3.9063, 2.3193, 1.2207, -73.466, -25.730, 138.285, -12.320, 37.660, -18.660, 25.12,,,,,,,,,,,,,,,,
 14:10:21.294,COM12,, 0.4453, -0.8809, 0.2646, -20.0806, -28.0762, -0.7935, -72.488, -25.472, 138.576, -12.307, 37.493, -19.013, 25.15,,,,,,,,,,,,,,,,
 14:10:21.390,COM12,, 0.4346, -0.8486, 0.2739, 3.8452, -10.1929, -3.6621, -73.257, -25.950, 140.213, -12.760, 37.413, -18.633, 25.13,,,,,,,,,,,,,,,,
 14:10:21.485,COM12,, 0.4702, -0.8638, 0.2593, 13.2446, 3.5400, -7.2632, -72.598, -26.461, 140.158, -13.053, 37.100, -18.487, 25.13,,,,,,,,,,,,,,,,
 14:10:21.579,COM12,, 0.5200, -0.8281, 0.2852, 14.0381, 6.1646, -19.7144, -70.911, -27.488, 139.092, -13.233, 36.400, -19.027, 25.12,,,,,,,,,,,,,,,,
 14:10:21.689,COM12,, 0.4985, -0.8154, 0.3613, 23.0103, 19.5313, -23.1323, -67.912, -29.570, 136.104, -13.407, 34.840, -20.093, 25.15,,,,,,,,,,,,,,,,
 14:10:21.783,COM12,, 0.4629, -0.7607, 0.3877, -0.9155, 11.2915, -8.7891, -65.962, -30.487, 133.660, -13.100, 33.727, -21.047, 25.15,,,,,,,,,,,,,,,,
 14:10:21.893,COM12,, 0.5078, -0.7378, 0.3472, 14.4653, 24.7803, -10.1929, -65.001, -30.157, 131.309, -12.533, 33.413, -21.807, 25.13,,,,,,,,,,,,,,,,
 14:10:21.987,COM12,, 0.5205, -0.7065, 0.3955, 3.6011, 17.6392, -3.6621, -63.523, -29.800, 128.628, -11.893, 33.300, -22.533, 25.13,,,,,,,,,,,,,,,,
 14:10:22.083,COM12,, 0.4854, -0.7759, 0.4102, -2.1973, 8.8501, 10.0708, -63.517, -28.845, 126.678, -11.320, 33.767, -22.960, 25.16,,,,,,,,,,,,,,,,
 14:10:22.179,COM12,, 0.4771, -0.8027, 0.4063, -1.8921, 1.8921, 3.6011, -63.853, -28.438, 126.052, -10.993, 34.113, -22.960, 25.13,,,,,,,,,,,,,,,,
 14:10:22.288,COM12,, 0.4678, -0.8037, 0.3926, 1.0376, 2.0752, -0.3662, -63.924, -28.268, 125.370, -10.867, 34.180, -22.800, 25.15,,,,,,,,,,,,,,,,
 14:10:22.383,COM12,, 0.4648, -0.7905, 0.3931, -3.2959, 0.4272, -0.7935, -63.973, -28.328, 124.673, -10.820, 34.360, -22.987, 25.15,,,,,,,,,,,,,,,,
 14:10:22.478,COM12,, 0.4741, -0.7808, 0.3984, 2.7466, 2.1362, 0.7324, -63.715, -28.268, 124.058, -10.827, 34.353, -22.953, 25.15,,,,,,,,,,,,,,,,
 14:10:22.590,COM12,, 0.4746, -0.7876, 0.4072, 2.5024, 2.6855, -0.6104, -63.408, -28.235, 123.453, -10.647, 34.227, -23.193, 25.13,,,,,,,,,,,,,,,,
 14:10:22.684,COM12,, 0.4800, -0.7817, 0.4077, 1.4648, 2.5024, -0.9155, -63.089, -28.240, 122.800, -10.687, 34.000, -23.313, 25.18,,,,,,,,,,,,,,,,
 14:10:22.779,COM12,, 0.4546, -0.7788, 0.4243, 2.0142, 5.0049, -3.7842, -62.732, -28.251, 122.058, -10.567, 33.860, -23.527, 25.15,,,,,,,,,,,,,,,,
 14:10:22.889,COM12,, 0.4575, -0.7798, 0.4038, 1.5259, 2.8076, -4.0894, -62.386, -28.383, 121.157, -10.513, 33.747, -23.487, 25.16,,,,,,,,,,,,,,,,
 14:10:22.983,COM12,, 0.5024, -0.7388, 0.4355, 0.3662, 4.8218, -8.8501, -61.842, -28.696, 120.427, -10.573, 33.507, -23.740, 25.15,,,,,,,,,,,,,,,,
 14:10:23.078,COM12,, 0.4990, -0.7510, 0.4365, -2.8076, 8.5449, -12.6953, -61.562, -29.399, 119.163, -10.800, 33.347, -23.727, 25.15,,,,,,,,,,,,,,,,
 14:10:23.188,COM12,, 0.4946, -0.7573, 0.4409, 2.9907, -0.0610, 1.7090, -61.595, -29.767, 118.537, -11.093, 33.327, -23.820, 25.16,,,,,,,,,,,,,,,,
 14:10:23.282,COM12,, 0.4790, -0.7681, 0.4106, 20.1416, -5.7983, 10.6812, -61.326, -29.257, 119.009, -11.007, 33.440, -23.793, 25.15,,,,,,,,,,,,,,,,
 14:10:23.378,COM12,, 0.4668, -0.7612, 0.4414, 11.7798, -8.9111, 6.6528, -60.370, -28.905, 119.861, -10.773, 33.240, -23.787, 25.15,,,,,,,,,,,,,,,,
 14:10:23.489,COM12,, 0.4893, -0.7300, 0.4580, -5.7983, -7.7515, 1.8311, -60.150, -28.691, 120.449, -10.660, 33.013, -23.733, 25.15,,,,,,,,,,,,,,,,
 14:10:23.581,COM12,, 0.5215, -0.7563, 0.4727, 4.2725, -6.4087, -5.0049, -60.233, -29.097, 120.586, -10.873, 32.927, -23.440, 25.15,,,,,,,,,,,,,,,,
 14:10:23.678,COM12,, 0.5034, -0.6948, 0.4766, 5.4932, -19.7754, 2.0142, -59.387, -29.663, 119.465, -11.300, 32.693, -23.500, 25.18,,,,,,,,,,,,,,,,
 14:10:23.786,COM12,, 0.5210, -0.7368, 0.4497, -7.0801, -7.5684, -2.9297, -59.606, -30.157, 118.850, -11.540, 32.373, -23.467, 25.15,,,,,,,,,,,,,,,,
 14:10:23.881,COM12,, 0.5420, -0.7510, 0.4434, -5.0049, -0.6104, -4.1504, -60.260, -30.679, 118.466, -12.073, 32.487, -23.087, 25.15,,,,,,,,,,,,,,,,
 14:10:23.975,COM12,, 0.5181, -0.7354, 0.4561, -8.7280, -0.1831, -10.0098, -60.677, -31.360, 117.504, -12.420, 32.513, -23.100, 25.16,,,,,,,,,,,,,,,,
 14:10:24.084,COM12,, 0.5464, -0.7339, 0.4224, -2.3804, 4.7607, -3.0518, -60.672, -31.827, 116.406, -12.773, 32.580, -23.100, 25.15,,,,,,,,,,,,,,,,
 14:10:24.179,COM12,, 0.4292, -0.7393, 0.4272, 0.6714, 1.6479, 0.4272, -60.738, -31.849, 115.840, -12.973, 32.527, -23.120, 25.15,,,,,,,,,,,,,,,,
 14:10:24.273,COM12,, 0.4951, -0.7275, 0.3579, -21.6064, -8.5449, 24.1089, -61.485, -30.009, 116.301, -12.420, 32.873, -23.280, 25.15,,,,,,,,,,,,,,,,
 14:10:24.385,COM12,, 0.4951, -0.7910, 0.3862, -0.1221, -7.4463, 7.1411, -63.715, -29.641, 118.010, -12.460, 33.913, -22.687, 25.15,,,,,,,,,,,,,,,,
 14:10:24.478,COM12,, 0.4619, -0.7759, 0.3960, -5.3711, -6.4087, 16.5405, -64.589, -29.103, 119.372, -12.433, 34.540, -22.387, 25.18,,,,,,,,,,,,,,,,
 14:10:24.572,COM12,, 0.4688, -0.8062, 0.3506, -13.3667, -12.3291, 7.4463, -66.292, -28.312, 120.646, -12.467, 35.260, -21.553, 25.15,,,,,,,,,,,,,,,,
 14:10:24.681,COM12,, 0.4712, -0.8115, 0.3413, -1.1597, -1.5869, 0.9155, -67.313, -28.213, 121.240, -12.707, 35.967, -20.973, 25.18,,,,,,,,,,,,,,,,
 14:10:24.777,COM12,, 0.4702, -0.8140, 0.3359, 0.4883, -0.6104, -0.0610, -67.456, -28.213, 121.382, -12.767, 36.213, -20.867, 25.13,,,,,,,,,,,,,,,,
