Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:54:42.139,COM12,, 0.4844, -0.8296, 0.3008, 0.3052, 1.0986, 0.3662, -70.274, -28.218, -17.375, -24.407, 41.073, -9.113, 25.36,,,,,,,,,,,,,,,,
 14:54:42.236,COM12,, 0.4453, -0.8345, 0.3140, 0.4272, 4.9438, 2.5635, -70.131, -28.048, -17.507, -24.300, 41.153, -9.213, 25.34,,,,,,,,,,,,,,,,
 14:54:42.346,COM12,, 0.4546, -0.8408, 0.2939, -2.0752, 22.4609, 5.1270, -69.417, -26.917, -18.556, -23.847, 41.267, -9.913, 25.30,,,,,,,,,,,,,,,,
 14:54:42.440,COM12,, 0.4082, -0.8613, 0.2881, 1.1597, 19.1650, -0.7324, -68.758, -26.461, -20.297, -23.460, 41.333, -10.753, 25.34,,,,,,,,,,,,,,,,
 14:54:42.535,COM12,, 0.4595, -0.8096, 0.3213, -6.8359, 5.2490, -0.4883, -68.143, -26.016, -21.929, -23.220, 41.193, -11.760, 25.34,,,,,,,,,,,,,,,,
 14:54:42.643,COM12,, 0.4482, -0.8418, 0.3550, 16.0522, -9.2163, -5.9814, -67.989, -26.647, -22.456, -23.373, 41.127, -11.913, 25.33,,,,,,,,,,,,,,,,
 14:54:42.736,COM12,, 0.4756, -0.8428, 0.3169, 17.0898, -11.0474, 2.8687, -66.929, -27.125, -21.995, -23.667, 40.580, -11.973, 25.36,,,,,,,,,,,,,,,,
 14:54:42.847,COM12,, 0.5176, -0.8213, 0.3550, 21.5454, -16.3574, -3.9063, -65.599, -27.938, -21.165, -23.627, 39.747, -12.053, 25.33,,,,,,,,,,,,,,,,
 14:54:42.942,COM12,, 0.4863, -0.7495, 0.3901, 2.0752, -10.8032, -7.1411, -64.836, -28.724, -19.786, -23.853, 38.967, -12.053, 25.31,,,,,,,,,,,,,,,,
 14:54:43.035,COM12,, 0.4546, -0.7793, 0.4136, -20.8130, 25.4517, 17.3340, -65.067, -27.735, -20.006, -23.587, 38.993, -12.253, 25.33,,,,,,,,,,,,,,,,
 14:54:43.147,COM12,, 0.4873, -0.8296, 0.3447, -15.0146, -3.9063, -9.8877, -66.890, -27.625, -20.369, -23.313, 39.787, -11.893, 25.33,,,,,,,,,,,,,,,,
 14:54:43.240,COM12,, 0.4678, -0.8179, 0.3433, 0.1221, -7.6294, -2.7466, -67.522, -28.378, -19.748, -23.727, 39.833, -11.193, 25.36,,,,,,,,,,,,,,,,
 14:54:43.335,COM12,, 0.4819, -0.8164, 0.3213, 3.4180, -1.8921, 1.6479, -67.368, -28.537, -19.297, -23.800, 39.727, -10.920, 25.33,,,,,,,,,,,,,,,,
 14:54:43.442,COM12,, 0.4922, -0.8096, 0.3413, 5.4321, -4.8828, -2.1973, -67.083, -28.839, -18.644, -23.933, 39.527, -10.953, 25.33,,,,,,,,,,,,,,,,
 14:54:43.537,COM12,, 0.4961, -0.8027, 0.3467, 2.8687, -3.4790, -0.1221, -66.956, -29.130, -17.869, -23.833, 39.387, -10.827, 25.33,,,,,,,,,,,,,,,,
 14:54:43.632,COM12,, 0.4976, -0.8096, 0.3394, -1.0376, -2.2583, -3.0518, -67.000, -29.460, -17.265, -23.913, 39.140, -10.667, 25.34,,,,,,,,,,,,,,,,
 14:54:43.742,COM12,, 0.4985, -0.7979, 0.3467, -0.1221, 0.2441, -0.1221, -66.973, -29.619, -16.809, -23.980, 39.140, -10.627, 25.36,,,,,,,,,,,,,,,,
 14:54:43.836,COM12,, 0.5005, -0.8003, 0.3389, -1.3428, 0.6714, -0.0610, -67.039, -29.691, -16.353, -23.927, 39.073, -10.553, 25.30,,,,,,,,,,,,,,,,
 14:54:43.932,COM12,, 0.5117, -0.8027, 0.3408, -0.4272, -0.4883, -0.3662, -67.061, -29.740, -15.864, -23.920, 39.107, -10.473, 25.34,,,,,,,,,,,,,,,,
 14:54:44.042,COM12,, 0.5005, -0.7964, 0.3521, -0.3662, -0.9155, 0.0610, -67.077, -29.850, -15.337, -24.020, 39.087, -10.553, 25.34,,,,,,,,,,,,,,,,
