Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:15:54.201,COM12,, 0.3472, -0.7583, 0.5532, -0.4883, -0.0610, 0.1221, -54.157, -20.006, 11.052, -33.040, 73.327, -31.287, 29.80,,,,,,,,,,,,,,,,
 17:15:54.294,COM12,, 0.3423, -0.7559, 0.5581, 0.0000, -0.7324, 0.0000, -54.179, -20.012, 11.085, -33.007, 73.333, -31.147, 29.83,,,,,,,,,,,,,,,,
 17:15:54.404,COM12,, 0.3354, -0.7607, 0.5522, 1.0376, -0.4272, -0.0610, -54.223, -20.017, 11.118, -33.033, 73.400, -31.113, 29.83,,,,,,,,,,,,,,,,
 17:15:54.497,COM12,, 0.3418, -0.7778, 0.5425, 0.3052, -0.1831, -0.1221, -54.245, -20.006, 11.140, -32.920, 73.447, -31.160, 29.81,,,,,,,,,,,,,,,,
 17:15:54.591,COM12,, 0.3398, -0.7632, 0.5503, 0.0000, -0.0610, 0.0610, -54.218, -20.012, 11.157, -33.053, 73.427, -31.147, 29.81,,,,,,,,,,,,,,,,
 17:15:54.699,COM12,, 0.3472, -0.7637, 0.5503, 0.1221, -0.1221, -0.1221, -54.223, -20.023, 11.157, -33.047, 73.347, -31.087, 29.83,,,,,,,,,,,,,,,,
 17:15:54.793,COM12,, 0.3472, -0.7583, 0.5562, -0.7324, -0.9766, 0.0610, -54.267, -20.023, 11.206, -32.927, 73.473, -31.180, 29.83,,,,,,,,,,,,,,,,
 17:15:54.891,COM12,, 0.3325, -0.7642, 0.5488, -2.0752, -1.1597, 1.7090, -54.399, -20.006, 11.349, -32.960, 73.580, -30.940, 29.83,,,,,,,,,,,,,,,,
 17:15:55.000,COM12,, 0.3550, -0.7803, 0.5381, -2.3193, -0.8545, 2.8076, -54.624, -19.847, 11.514, -32.793, 73.753, -30.607, 29.84,,,,,,,,,,,,,,,,
 17:15:55.093,COM12,, 0.3408, -0.7329, 0.5698, 3.7231, -1.8311, 3.0518, -54.525, -19.556, 11.898, -32.360, 74.087, -30.787, 29.83,,,,,,,,,,,,,,,,
 17:15:55.187,COM12,, 0.3403, -0.7700, 0.5503, -0.9155, -0.7324, -0.1831, -54.547, -19.567, 12.052, -32.220, 74.100, -30.733, 29.83,,,,,,,,,,,,,,,,
 17:15:55.296,COM12,, 0.3384, -0.7686, 0.5483, 0.0000, 0.4272, -0.4883, -54.542, -19.583, 12.052, -32.167, 74.153, -30.567, 29.83,,,,,,,,,,,,,,,,
 17:15:55.391,COM12,, 0.3286, -0.7666, 0.5498, 0.1221, 0.0000, -0.9766, -54.498, -19.638, 11.986, -32.107, 74.233, -30.487, 29.81,,,,,,,,,,,,,,,,
 17:15:55.500,COM12,, 0.3350, -0.7705, 0.5449, 0.3052, 0.2441, -0.4883, -54.476, -19.682, 11.920, -32.247, 74.147, -30.553, 29.84,,,,,,,,,,,,,,,,
 17:15:55.595,COM12,, 0.3364, -0.7671, 0.5464, 0.1221, 0.1831, -0.9155, -54.410, -19.759, 11.854, -32.380, 74.107, -30.680, 29.84,,,,,,,,,,,,,,,,
 17:15:55.689,COM12,, 0.3325, -0.7686, 0.5459, 0.6714, -0.1831, -0.8545, -54.382, -19.808, 11.827, -32.347, 74.020, -31.087, 29.83,,,,,,,,,,,,,,,,
 17:15:55.799,COM12,, 0.3359, -0.7617, 0.5483, 1.9531, -0.1831, -0.7324, -54.305, -19.852, 11.761, -32.427, 73.940, -30.860, 29.83,,,,,,,,,,,,,,,,
 17:15:55.893,COM12,, 0.3354, -0.7651, 0.5464, 0.2441, 0.3052, 0.0000, -54.234, -19.891, 11.711, -32.500, 73.873, -31.027, 29.84,,,,,,,,,,,,,,,,
 17:15:55.987,COM12,, 0.3335, -0.7729, 0.5444, 0.0000, 0.0000, -0.4883, -54.234, -19.913, 11.695, -32.627, 73.847, -30.867, 29.77,,,,,,,,,,,,,,,,
 17:15:56.095,COM12,, 0.3418, -0.7744, 0.5439, 0.1221, 0.2441, -0.2441, -54.212, -19.913, 11.667, -32.540, 73.767, -31.087, 29.81,,,,,,,,,,,,,,,,
 17:15:56.192,COM12,, 0.3296, -0.7676, 0.5518, 10.1318, 0.6714, -6.0425, -53.740, -20.116, 11.437, -32.667, 73.600, -31.413, 29.80,,,,,,,,,,,,,,,,
 17:15:56.287,COM12,, 0.3398, -0.7817, 0.5464, -1.2207, -0.0610, -0.1221, -53.333, -20.248, 11.305, -32.867, 73.320, -31.847, 29.80,,,,,,,,,,,,,,,,
 17:15:56.396,COM12,, 0.3740, -0.7856, 0.5547, 12.8784, -2.3804, 5.4321, -53.097, -20.248, 11.365, -32.920, 73.227, -31.747, 29.83,,,,,,,,,,,,,,,,
 17:15:56.489,COM12,, 0.3838, -0.7266, 0.6030, 29.0527, 1.5869, 1.2817, -51.652, -20.490, 11.206, -32.940, 72.607, -32.847, 29.78,,,,,,,,,,,,,,,,
 17:15:56.582,COM12,, 0.3481, -0.6855, 0.6187, 1.4038, 6.1646, -15.5640, -50.609, -20.995, 10.624, -33.427, 71.420, -33.707, 29.81,,,,,,,,,,,,,,,,
 17:15:56.692,COM12,, 0.3623, -0.7622, 0.5674, 6.1035, 5.9814, -4.8828, -50.010, -21.742, 8.531, -34.707, 69.953, -34.380, 29.83,,,,,,,,,,,,,,,,
 17:15:56.786,COM12,, 0.3325, -0.7002, 0.6123, -1.6479, 7.2632, -4.3335, -49.219, -21.528, 7.509, -35.127, 69.060, -35.420, 29.78,,,,,,,,,,,,,,,,
 17:15:56.881,COM12,, 0.3354, -0.7188, 0.6045, 15.4419, 3.8452, 4.5776, -48.406, -21.132, 6.938, -34.747, 68.513, -36.440, 29.81,,,,,,,,,,,,,,,,
 17:15:56.989,COM12,, 0.3462, -0.6479, 0.6509, 5.1270, -1.7700, 4.9438, -47.071, -20.517, 7.410, -33.853, 68.093, -37.820, 29.81,,,,,,,,,,,,,,,,
 17:15:57.084,COM12,, 0.3403, -0.6177, 0.6812, 12.3291, -4.2725, 11.0474, -46.236, -19.968, 8.701, -32.940, 68.087, -38.453, 29.83,,,,,,,,,,,,,,,,
