Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:47:58.366,COM12,, 0.3145, -0.8389, 0.4478, -1.0986, 0.7324, 0.0000, -62.617, -18.171, 30.784, -19.213, 81.087, -19.107, 29.34,,,,,,,,,,,,,,,,
 17:47:58.475,COM12,, 0.3052, -0.8389, 0.4395, 0.3662, -0.0610, -0.3052, -62.628, -18.188, 30.756, -19.267, 81.100, -19.113, 29.36,,,,,,,,,,,,,,,,
 17:47:58.569,COM12,, 0.3096, -0.8442, 0.4351, -0.1831, -0.3662, -0.3052, -62.617, -18.204, 30.734, -19.340, 81.080, -18.967, 29.36,,,,,,,,,,,,,,,,
 17:47:58.679,COM12,, 0.3057, -0.8379, 0.4385, -0.4883, -0.4883, 0.1221, -62.633, -18.199, 30.740, -19.347, 81.033, -19.013, 29.36,,,,,,,,,,,,,,,,
 17:47:58.773,COM12,, 0.3115, -0.8442, 0.4341, -0.1221, -0.1221, -0.1221, -62.672, -18.182, 30.762, -19.307, 81.140, -19.167, 29.33,,,,,,,,,,,,,,,,
 17:47:58.869,COM12,, 0.3042, -0.8428, 0.4414, 0.1221, -0.1831, -0.3052, -62.666, -18.204, 30.756, -19.287, 81.207, -19.220, 29.33,,,,,,,,,,,,,,,,
 17:47:58.964,COM12,, 0.3418, -0.8569, 0.4243, 4.5166, -0.8545, -0.4272, -62.556, -18.237, 30.756, -19.433, 80.993, -19.200, 29.33,,,,,,,,,,,,,,,,
 17:47:59.074,COM12,, 0.3159, -0.8589, 0.4707, -4.8828, -2.0752, -5.1880, -62.067, -18.809, 31.399, -19.607, 80.907, -19.620, 29.33,,,,,,,,,,,,,,,,
 17:47:59.168,COM12,, 0.3086, -0.8301, 0.4414, 11.6577, -3.8452, 5.0659, -61.859, -18.704, 31.415, -19.747, 80.907, -19.740, 29.34,,,,,,,,,,,,,,,,
 17:47:59.277,COM12,, 0.3174, -0.8442, 0.4448, -0.1831, 0.6714, 0.5493, -61.485, -18.545, 31.558, -19.500, 80.713, -20.253, 29.33,,,,,,,,,,,,,,,,
 17:47:59.369,COM12,, 0.2930, -0.8330, 0.4595, 3.9673, -2.6855, 2.0752, -61.166, -18.474, 31.838, -19.307, 80.753, -20.460, 29.34,,,,,,,,,,,,,,,,
 17:47:59.463,COM12,, 0.3228, -0.8428, 0.4458, -1.4038, -0.5493, -6.0425, -60.859, -18.534, 32.097, -19.040, 80.640, -21.000, 29.36,,,,,,,,,,,,,,,,
 17:47:59.572,COM12,, 0.3252, -0.8408, 0.4736, 6.5308, -1.7700, 1.6479, -60.513, -18.825, 32.311, -19.340, 80.673, -21.580, 29.31,,,,,,,,,,,,,,,,
 17:47:59.666,COM12,, 0.3086, -0.8252, 0.4854, 10.6201, -6.7139, 0.9155, -60.101, -18.929, 32.673, -19.273, 80.500, -21.700, 29.33,,,,,,,,,,,,,,,,
 17:47:59.777,COM12,, 0.3228, -0.8203, 0.4712, 0.0610, -0.1221, 1.3428, -59.491, -18.787, 33.107, -19.060, 80.473, -22.427, 29.36,,,,,,,,,,,,,,,,
 17:47:59.871,COM12,, 0.3257, -0.8018, 0.4932, 5.1270, -3.8452, 2.1973, -59.183, -18.754, 33.497, -18.780, 80.500, -22.840, 29.34,,,,,,,,,,,,,,,,
 17:47:59.965,COM12,, 0.3145, -0.8286, 0.4810, -3.4790, -2.5635, -0.6714, -59.205, -18.869, 33.690, -18.780, 80.367, -22.793, 29.34,,,,,,,,,,,,,,,,
 17:48:00.075,COM12,, 0.3198, -0.8076, 0.4775, 3.5400, -5.3101, 2.1362, -59.337, -18.995, 34.140, -18.733, 80.613, -22.713, 29.37,,,,,,,,,,,,,,,,
 17:48:00.170,COM12,, 0.3472, -0.8066, 0.4868, 6.5308, -3.5400, -4.5166, -58.991, -19.265, 34.448, -18.700, 80.633, -22.927, 29.33,,,,,,,,,,,,,,,,
 17:48:00.263,COM12,, 0.3926, -0.8149, 0.4932, 14.7705, -17.7002, -3.1738, -58.370, -20.220, 35.294, -19.280, 80.547, -23.647, 29.31,,,,,,,,,,,,,,,,
 17:48:00.372,COM12,, 0.3716, -0.7280, 0.5488, 18.0054, -2.8076, 1.6479, -56.492, -20.819, 35.986, -19.680, 79.840, -25.167, 29.33,,,,,,,,,,,,,,,,
