Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:29:22.240,COM12,, 0.5601, -0.7358, 0.3916, -0.1221, 1.3428, 0.9766, -63.188, -33.904, 34.371, -54.467, 69.793, -19.440, 29.75,,,,,,,,,,,,,,,,
 18:29:22.334,COM12,, 0.5557, -0.7378, 0.3882, -1.5869, -0.5493, -1.9531, -63.045, -33.871, 34.184, -54.407, 69.740, -19.747, 29.75,,,,,,,,,,,,,,,,
 18:29:22.429,COM12,, 0.5581, -0.7305, 0.3906, 0.3052, 1.8311, 1.1597, -62.963, -33.849, 34.052, -54.487, 69.627, -19.940, 29.75,,,,,,,,,,,,,,,,
 18:29:22.541,COM12,, 0.5542, -0.7339, 0.3926, 2.3193, 2.4414, -0.6104, -62.759, -33.728, 33.871, -54.267, 69.727, -20.000, 29.77,,,,,,,,,,,,,,,,
 18:29:22.635,COM12,, 0.5562, -0.7476, 0.3784, -0.2441, 1.4038, 0.1221, -62.628, -33.596, 33.695, -54.100, 69.613, -20.167, 29.77,,,,,,,,,,,,,,,,
 18:29:22.728,COM12,, 0.5430, -0.7334, 0.4009, 0.8545, 2.5024, 0.3052, -62.402, -33.475, 33.481, -54.073, 69.653, -20.547, 29.74,,,,,,,,,,,,,,,,
 18:29:22.838,COM12,, 0.5518, -0.7432, 0.3892, -0.6714, 3.0518, 0.7935, -62.260, -33.283, 33.250, -53.833, 69.533, -20.767, 29.78,,,,,,,,,,,,,,,,
 18:29:22.932,COM12,, 0.5522, -0.7412, 0.3979, -1.5259, 2.1362, 2.0142, -62.172, -33.190, 33.080, -53.787, 69.693, -21.107, 29.75,,,,,,,,,,,,,,,,
 18:29:23.043,COM12,, 0.5420, -0.7354, 0.4033, 0.7935, 0.4272, -0.3662, -62.078, -33.096, 32.992, -53.593, 69.620, -21.313, 29.72,,,,,,,,,,,,,,,,
 18:29:23.136,COM12,, 0.5479, -0.7363, 0.4004, 0.2441, 0.5493, -0.6714, -61.996, -33.080, 32.904, -53.573, 69.600, -21.447, 29.72,,,,,,,,,,,,,,,,
 18:29:23.232,COM12,, 0.5444, -0.7339, 0.4082, 0.3662, 2.8076, -0.1221, -61.880, -33.074, 32.717, -53.673, 69.520, -21.453, 29.72,,,,,,,,,,,,,,,,
 18:29:23.341,COM12,, 0.5400, -0.7412, 0.3984, 1.5869, 2.6245, 0.0000, -61.716, -32.948, 32.454, -53.533, 69.600, -21.727, 29.72,,,,,,,,,,,,,,,,
 18:29:23.435,COM12,, 0.5405, -0.7441, 0.3994, 1.4038, 2.7466, -1.5259, -61.441, -32.899, 32.151, -53.527, 69.567, -21.973, 29.75,,,,,,,,,,,,,,,,
 18:29:23.532,COM12,, 0.5293, -0.7378, 0.4111, 2.0142, 2.8687, -1.5259, -61.100, -32.915, 31.833, -53.560, 69.453, -22.480, 29.75,,,,,,,,,,,,,,,,
