Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:41:32.225,COM12,, 0.4795, -0.8394, 0.2119, 0.4883, 1.7090, -0.6714, -75.905, -29.224, 89.280, -38.220, 83.653, -0.533, 28.33,,,,,,,,,,,,,,,,
 18:41:32.319,COM12,, 0.4785, -0.8535, 0.2070, -0.7324, 1.6479, 3.1128, -75.943, -29.070, 89.330, -38.293, 83.727, -0.707, 28.35,,,,,,,,,,,,,,,,
 18:41:32.415,COM12,, 0.4731, -0.8457, 0.2134, 1.5869, -1.6479, 1.0376, -75.894, -28.889, 89.418, -38.033, 83.713, -0.740, 28.36,,,,,,,,,,,,,,,,
 18:41:32.524,COM12,, 0.4814, -0.8613, 0.2002, 1.6479, -1.0376, 1.5259, -75.888, -28.806, 89.577, -37.753, 83.833, -0.780, 28.36,,,,,,,,,,,,,,,,
 18:41:32.619,COM12,, 0.5034, -0.8599, 0.2163, -0.1831, -2.6855, -0.0610, -75.762, -28.768, 89.786, -37.693, 83.900, -0.900, 28.39,,,,,,,,,,,,,,,,
 18:41:32.712,COM12,, 0.4634, -0.8438, 0.2402, 0.4272, 2.5635, 0.8545, -75.729, -28.812, 89.929, -37.593, 83.800, -0.867, 28.36,,,,,,,,,,,,,,,,
 18:41:32.824,COM12,, 0.4629, -0.8384, 0.2153, -0.5493, 4.6387, 2.4414, -75.558, -28.422, 89.269, -37.367, 83.873, -1.093, 28.39,,,,,,,,,,,,,,,,
 18:41:32.918,COM12,, 0.4707, -0.8491, 0.2144, 1.2207, 1.1597, -1.2207, -75.482, -28.372, 88.923, -37.413, 83.793, -1.253, 28.38,,,,,,,,,,,,,,,,
 18:41:33.011,COM12,, 0.4800, -0.8525, 0.2153, 0.9766, 1.2817, -2.5635, -75.311, -28.493, 88.726, -37.527, 83.713, -1.540, 28.35,,,,,,,,,,,,,,,,
 18:41:33.120,COM12,, 0.4683, -0.8496, 0.2202, -2.8687, 0.1221, -2.6245, -75.317, -28.718, 88.517, -37.800, 83.507, -1.467, 28.36,,,,,,,,,,,,,,,,
 18:41:33.213,COM12,, 0.4854, -0.8545, 0.2148, 1.4648, 0.2441, -2.6245, -75.278, -28.911, 88.396, -38.240, 83.440, -1.647, 28.36,,,,,,,,,,,,,,,,
