Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:38:18.659,COM12,, 0.2808, -0.9531, -0.1138, -0.4272, 0.3052, 0.6104, -96.916, -16.089, 142.734, -24.640, 87.287, 19.420, 26.53,,,,,,,,,,,,,,,,
 19:38:18.753,COM12,, 0.2739, -0.9526, -0.1035, -0.7324, -0.3052, 3.2349, -96.965, -15.919, 142.751, -24.627, 87.227, 19.727, 26.58,,,,,,,,,,,,,,,,
 19:38:18.847,COM12,, 0.2739, -0.9570, -0.0947, 10.8643, 20.4468, 2.5024, -96.268, -15.667, 141.713, -24.347, 87.327, 19.020, 26.53,,,,,,,,,,,,,,,,
 19:38:18.955,COM12,, 0.2764, -1.0107, -0.1035, 32.2266, 36.3159, -15.9912, -94.120, -16.529, 138.713, -25.327, 87.060, 16.327, 26.55,,,,,,,,,,,,,,,,
 19:38:19.049,COM12,, 0.3105, -0.9165, -0.0352, 1.0986, 8.4229, -15.9302, -91.522, -17.880, 136.159, -27.327, 86.373, 12.440, 26.53,,,,,,,,,,,,,,,,
 19:38:19.159,COM12,, 0.3105, -0.9600, -0.0459, 0.4883, -2.2583, -16.1743, -92.076, -19.221, 136.412, -29.260, 85.787, 11.887, 26.57,,,,,,,,,,,,,,,,
 19:38:19.251,COM12,, 0.3496, -0.9458, -0.0601, -2.0752, -3.9673, -3.6621, -92.466, -19.852, 137.027, -30.580, 85.393, 12.340, 26.57,,,,,,,,,,,,,,,,
 19:38:19.346,COM12,, 0.3774, -0.8940, 0.0015, 18.3105, 15.9912, -13.3057, -91.000, -21.088, 136.170, -31.820, 84.753, 11.640, 26.53,,,,,,,,,,,,,,,,
 19:38:19.456,COM12,, 0.4297, -0.9287, 0.0244, 9.5215, 9.8267, -9.7046, -89.302, -22.374, 134.775, -33.567, 83.840, 9.267, 26.53,,,,,,,,,,,,,,,,
 19:38:19.549,COM12,, 0.3945, -0.9160, 0.0586, 9.5215, 5.0049, -5.6763, -88.066, -23.335, 133.797, -34.973, 83.227, 7.567, 26.55,,,,,,,,,,,,,,,,
 19:38:19.659,COM12,, 0.4082, -0.9141, 0.0439, 3.1738, 5.1880, -4.8828, -87.468, -23.741, 133.176, -35.607, 82.840, 6.600, 26.52,,,,,,,,,,,,,,,,
 19:38:19.752,COM12,, 0.4224, -0.9185, 0.0601, 3.9673, 5.0659, -2.0142, -86.825, -23.950, 132.709, -36.120, 82.747, 5.800, 26.53,,,,,,,,,,,,,,,,
 19:38:19.848,COM12,, 0.3892, -0.8896, 0.0723, 5.8594, 12.1460, -2.3804, -85.875, -24.384, 131.468, -36.713, 82.293, 4.607, 26.53,,,,,,,,,,,,,,,,
 19:38:19.957,COM12,, 0.4316, -0.8911, 0.0859, 1.0376, 3.5400, -1.5869, -85.435, -24.384, 130.902, -36.893, 82.007, 3.713, 26.55,,,,,,,,,,,,,,,,
 19:38:20.051,COM12,, 0.4204, -0.8936, 0.0869, 0.4883, -0.0610, -0.8545, -85.276, -24.593, 130.655, -37.253, 81.840, 3.460, 26.57,,,,,,,,,,,,,,,,
 19:38:20.144,COM12,, 0.4209, -0.9063, 0.0869, 2.3193, 0.5493, -0.4883, -85.045, -24.648, 130.457, -37.400, 81.867, 3.053, 26.53,,,,,,,,,,,,,,,,
