Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:26:38.245,COM12,, 0.4111, -0.9370, 0.0479, 1.4038, 3.2959, -4.6997, -86.413, -21.841, 48.384, -35.107, 82.867, 4.880, 26.87,,,,,,,,,,,,,,,,
 19:26:38.355,COM12,, 0.3896, -0.9204, 0.0879, 2.1973, 2.5024, -3.2959, -85.902, -22.396, 47.922, -35.713, 82.613, 4.220, 26.87,,,,,,,,,,,,,,,,
 19:26:38.449,COM12,, 0.3638, -0.9316, 0.0610, 3.4790, 4.2725, -7.7515, -85.578, -22.813, 47.565, -36.240, 82.433, 3.760, 26.87,,,,,,,,,,,,,,,,
 19:26:38.542,COM12,, 0.4131, -0.9097, 0.0625, 3.3569, 1.8921, -5.2490, -85.292, -23.071, 47.379, -36.700, 82.207, 3.327, 26.90,,,,,,,,,,,,,,,,
 19:26:38.651,COM12,, 0.4058, -0.9106, 0.0889, 2.7466, 3.7231, -3.7842, -84.749, -23.719, 46.912, -37.427, 81.807, 2.700, 26.85,,,,,,,,,,,,,,,,
 19:26:38.747,COM12,, 0.4302, -0.8975, 0.1030, 5.2490, 7.2021, -11.5356, -84.172, -24.219, 46.395, -38.053, 81.447, 2.020, 26.85,,,,,,,,,,,,,,,,
 19:26:38.842,COM12,, 0.4282, -0.9009, 0.1030, -1.4648, 1.6479, -0.0610, -83.760, -24.796, 45.873, -38.860, 81.100, 1.340, 26.91,,,,,,,,,,,,,,,,
 19:26:38.952,COM12,, 0.4116, -0.8965, 0.1040, -0.1831, 0.0000, -1.0376, -83.754, -24.884, 45.786, -39.087, 80.880, 1.127, 26.87,,,,,,,,,,,,,,,,
 19:26:39.047,COM12,, 0.4351, -0.9053, 0.0942, 1.2207, 1.0986, -1.4648, -83.716, -24.955, 45.703, -39.307, 80.847, 1.180, 26.90,,,,,,,,,,,,,,,,
 19:26:39.155,COM12,, 0.4365, -0.8979, 0.1040, 1.7090, 1.2207, 0.0610, -83.474, -25.087, 45.505, -39.420, 80.813, 1.033, 26.88,,,,,,,,,,,,,,,,
 19:26:39.250,COM12,, 0.4048, -0.9121, 0.1050, 8.1787, 0.6104, -1.3428, -83.238, -25.010, 45.385, -39.340, 80.827, 0.640, 26.87,,,,,,,,,,,,,,,,
 19:26:39.344,COM12,, 0.4429, -0.9058, 0.1064, 5.1880, -2.6245, 0.6104, -82.650, -25.049, 45.335, -39.360, 80.873, -0.193, 26.87,,,,,,,,,,,,,,,,
 19:26:39.452,COM12,, 0.4189, -0.9009, 0.1372, 3.7842, 1.1597, 0.5493, -82.359, -25.082, 45.450, -39.273, 81.027, -0.367, 26.88,,,,,,,,,,,,,,,,
 19:26:39.546,COM12,, 0.4131, -0.8936, 0.1270, 0.6104, 0.1831, -0.3662, -82.101, -24.950, 45.368, -39.013, 81.100, -0.633, 26.90,,,,,,,,,,,,,,,,
 19:26:39.641,COM12,, 0.4199, -0.8931, 0.1338, 0.9155, -0.3662, 1.0986, -81.974, -24.955, 45.291, -39.007, 81.107, -0.827, 26.87,,,,,,,,,,,,,,,,
 19:26:39.752,COM12,, 0.4131, -0.9063, 0.1323, 0.6104, 1.7090, -0.3052, -81.974, -24.922, 45.291, -38.913, 81.120, -0.753, 26.85,,,,,,,,,,,,,,,,
 19:26:39.848,COM12,, 0.4727, -0.8887, 0.1279, 9.4604, 10.6812, -8.8501, -81.365, -25.148, 44.797, -39.100, 81.027, -1.393, 26.85,,,,,,,,,,,,,,,,
 19:26:39.942,COM12,, 0.4580, -0.8608, 0.1772, 9.5825, 9.7656, -13.6719, -79.667, -26.257, 43.248, -40.107, 80.373, -3.213, 26.87,,,,,,,,,,,,,,,,
