Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:11:03.865,COM12,, 0.3691, -0.8315, 0.4673, -7.7515, 3.2959, -6.4087, -60.606, -22.110, 120.569, 3.160, 28.500, -27.780, 26.26,,,,,,,,,,,,,,,,
 23:11:03.974,COM12,, 0.4019, -0.8130, 0.4497, -3.5400, 2.1973, -3.9673, -60.848, -22.231, 119.954, 3.427, 28.693, -27.840, 26.29,,,,,,,,,,,,,,,,
 23:11:04.068,COM12,, 0.3960, -0.8188, 0.4653, -0.6104, 4.5776, -3.1128, -60.721, -22.527, 119.438, 3.580, 28.567, -27.987, 26.25,,,,,,,,,,,,,,,,
 23:11:04.163,COM12,, 0.4019, -0.8022, 0.4580, -7.2632, 6.6528, -3.2349, -60.969, -22.939, 118.762, 3.573, 28.747, -27.987, 26.25,,,,,,,,,,,,,,,,
 23:11:04.274,COM12,, 0.3853, -0.8350, 0.4370, -16.6016, 12.5122, -6.2866, -62.150, -23.137, 117.136, 3.973, 29.447, -27.973, 26.25,,,,,,,,,,,,,,,,
 23:11:04.368,COM12,, 0.3774, -0.8291, 0.4233, -3.7231, 9.0332, -1.8311, -62.221, -22.906, 116.252, 4.813, 29.900, -28.020, 26.28,,,,,,,,,,,,,,,,
 23:11:04.464,COM12,, 0.3628, -0.8228, 0.4463, -0.0610, 10.2539, 1.4038, -61.793, -22.440, 115.455, 5.533, 29.780, -28.400, 26.26,,,,,,,,,,,,,,,,
 23:11:04.574,COM12,, 0.3589, -0.8203, 0.4448, -0.1221, 8.9111, -1.8311, -61.458, -21.896, 114.719, 6.267, 29.753, -28.367, 26.26,,,,,,,,,,,,,,,,
 23:11:04.668,COM12,, 0.3867, -0.8042, 0.4668, 11.2915, 4.6387, -6.2866, -60.513, -21.923, 113.604, 7.093, 29.500, -28.740, 26.23,,,,,,,,,,,,,,,,
 23:11:04.763,COM12,, 0.3867, -0.7964, 0.5015, 6.2256, -1.2207, -5.1880, -59.288, -22.176, 113.483, 7.053, 28.727, -29.093, 26.26,,,,,,,,,,,,,,,,
 23:11:04.873,COM12,, 0.3750, -0.7979, 0.4937, 4.4556, 2.6245, -0.0610, -58.942, -22.357, 113.362, 7.067, 28.367, -29.167, 26.25,,,,,,,,,,,,,,,,
 23:11:04.967,COM12,, 0.3711, -0.8013, 0.4834, -2.2583, 3.4790, -0.9766, -58.920, -22.231, 113.247, 7.180, 28.307, -29.213, 26.26,,,,,,,,,,,,,,,,
 23:11:05.061,COM12,, 0.3652, -0.7852, 0.4883, -3.4180, 2.2583, 1.6479, -58.936, -22.094, 113.231, 7.407, 28.340, -29.127, 26.26,,,,,,,,,,,,,,,,
 23:11:05.171,COM12,, 0.3594, -0.7920, 0.4858, -5.1270, 4.7607, 1.4038, -59.211, -21.813, 113.115, 7.680, 28.553, -29.120, 26.28,,,,,,,,,,,,,,,,
 23:11:05.265,COM12,, 0.3496, -0.7959, 0.4863, -0.5493, 2.1362, 1.5259, -59.200, -21.434, 113.066, 7.947, 28.740, -29.020, 26.25,,,,,,,,,,,,,,,,
 23:11:05.374,COM12,, 0.3486, -0.7930, 0.4902, -4.6387, 2.9297, 1.2207, -59.304, -21.105, 113.033, 8.227, 28.793, -29.147, 26.23,,,,,,,,,,,,,,,,
 23:11:05.469,COM12,, 0.3486, -0.7949, 0.4883, -1.5869, 1.7700, -0.0610, -59.491, -20.885, 112.852, 8.427, 28.847, -29.140, 26.29,,,,,,,,,,,,,,,,
