Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:20:24.037,COM12,, 0.3901, -0.8086, 0.4214, 1.4648, -0.4272, -0.3052, -63.001, -22.923, 117.729, 4.800, 30.807, -27.780, 26.47,,,,,,,,,,,,,,,,
 23:20:24.145,COM12,, 0.3911, -0.8149, 0.4297, 0.9766, 0.0610, -0.6104, -62.891, -22.961, 117.713, 4.820, 30.720, -27.827, 26.50,,,,,,,,,,,,,,,,
 23:20:24.240,COM12,, 0.3848, -0.8203, 0.4321, 0.4883, 0.2441, -0.0610, -62.853, -22.967, 117.686, 4.840, 30.673, -27.867, 26.50,,,,,,,,,,,,,,,,
 23:20:24.350,COM12,, 0.3887, -0.8174, 0.4277, -0.7935, -0.2441, 0.0610, -62.836, -22.956, 117.702, 4.787, 30.687, -27.867, 26.49,,,,,,,,,,,,,,,,
 23:20:24.444,COM12,, 0.3945, -0.8159, 0.4287, 0.3662, -0.4883, 0.1221, -62.820, -22.950, 117.729, 4.780, 30.727, -27.920, 26.50,,,,,,,,,,,,,,,,
 23:20:24.536,COM12,, 0.3853, -0.8203, 0.4312, 0.3662, -0.0610, 0.1221, -62.776, -22.956, 117.740, 4.813, 30.667, -27.827, 26.49,,,,,,,,,,,,,,,,
 23:20:24.647,COM12,, 0.3921, -0.8101, 0.4268, -0.4272, -0.2441, 0.0610, -62.759, -22.950, 117.751, 4.813, 30.547, -27.660, 26.50,,,,,,,,,,,,,,,,
 23:20:24.742,COM12,, 0.3896, -0.8203, 0.4272, -0.2441, 0.0000, -0.1221, -62.781, -22.939, 117.719, 4.820, 30.547, -27.740, 26.49,,,,,,,,,,,,,,,,
 23:20:24.838,COM12,, 0.3867, -0.8242, 0.4238, -0.2441, -0.1221, -0.2441, -62.776, -22.928, 117.702, 4.860, 30.633, -27.827, 26.50,,,,,,,,,,,,,,,,
 23:20:24.947,COM12,, 0.3848, -0.8140, 0.4263, -0.2441, 0.1831, -0.0610, -62.743, -22.928, 117.686, 4.820, 30.707, -27.733, 26.50,,,,,,,,,,,,,,,,
 23:20:25.042,COM12,, 0.3857, -0.8179, 0.4302, -0.6104, 0.1831, 0.3662, -62.732, -22.901, 117.658, 4.893, 30.627, -27.833, 26.50,,,,,,,,,,,,,,,,
 23:20:25.137,COM12,, 0.3936, -0.8130, 0.4326, -0.9155, -0.3662, 0.3662, -62.743, -22.868, 117.625, 4.873, 30.613, -27.747, 26.49,,,,,,,,,,,,,,,,
 23:20:25.246,COM12,, 0.3892, -0.8174, 0.4351, 0.0000, -0.0610, 0.1221, -62.770, -22.857, 117.614, 4.840, 30.687, -27.773, 26.50,,,,,,,,,,,,,,,,
 23:20:25.340,COM12,, 0.3848, -0.8179, 0.4297, 0.1831, -0.1831, 0.0000, -62.770, -22.857, 117.603, 4.853, 30.740, -27.827, 26.47,,,,,,,,,,,,,,,,
 23:20:25.436,COM12,, 0.3867, -0.8218, 0.4253, -0.6714, 0.0000, 0.0000, -62.765, -22.852, 117.603, 4.960, 30.673, -27.973, 26.50,,,,,,,,,,,,,,,,
 23:20:25.545,COM12,, 0.3877, -0.8208, 0.4292, -0.7935, -0.1221, -0.1831, -62.759, -22.857, 117.609, 4.933, 30.633, -27.980, 26.50,,,,,,,,,,,,,,,,
 23:20:25.640,COM12,, 0.3916, -0.8184, 0.4316, -1.0376, -0.1221, -0.6714, -62.770, -22.874, 117.598, 4.927, 30.547, -27.833, 26.52,,,,,,,,,,,,,,,,
 23:20:25.735,COM12,, 0.3916, -0.8169, 0.4380, 0.1221, -0.3662, -0.1831, -62.759, -22.928, 117.603, 4.867, 30.547, -27.807, 26.50,,,,,,,,,,,,,,,,
 23:20:25.844,COM12,, 0.3896, -0.8198, 0.4282, -0.9155, -0.6104, 0.0000, -62.825, -22.989, 117.609, 4.813, 30.613, -27.860, 26.50,,,,,,,,,,,,,,,,
 23:20:25.940,COM12,, 0.3882, -0.8193, 0.4160, -0.6714, -2.3193, -1.2817, -62.957, -23.110, 117.664, 4.773, 30.780, -27.887, 26.52,,,,,,,,,,,,,,,,
 23:20:26.033,COM12,, 0.4121, -0.8135, 0.4189, -1.4648, -6.7139, -1.8921, -63.177, -23.445, 118.065, 4.480, 30.813, -27.653, 26.52,,,,,,,,,,,,,,,,
 23:20:26.143,COM12,, 0.4155, -0.8618, 0.3340, -20.3857, -34.1187, -8.3618, -65.418, -24.961, 119.855, 3.213, 31.560, -27.087, 26.49,,,,,,,,,,,,,,,,
 23:20:26.236,COM12,, 0.4448, -0.7974, 0.3931, -1.8311, -9.3384, -4.5166, -66.462, -25.933, 121.663, 1.593, 32.060, -26.360, 26.53,,,,,,,,,,,,,,,,
 23:20:26.345,COM12,, 0.4209, -0.8110, 0.3833, 1.4648, 5.7983, 5.2490, -66.649, -25.950, 121.712, 1.093, 32.167, -26.073, 26.49,,,,,,,,,,,,,,,,
 23:20:26.439,COM12,, 0.3848, -0.8301, 0.3701, 7.0190, 13.3667, 11.0474, -66.209, -24.977, 121.152, 1.560, 32.107, -26.067, 26.52,,,,,,,,,,,,,,,,
 23:20:26.534,COM12,, 0.4199, -0.8560, 0.3389, 18.1274, 8.4839, 6.9580, -64.429, -23.654, 120.218, 2.600, 31.513, -26.720, 26.53,,,,,,,,,,,,,,,,
 23:20:26.643,COM12,, 0.5376, -0.7856, 0.4604, -2.7466, 2.8687, -2.8076, -63.254, -23.329, 119.806, 3.053, 30.793, -27.147, 26.47,,,,,,,,,,,,,,,,
 23:20:26.737,COM12,, 0.4678, -0.8560, 0.4453, -35.6445, -10.3760, -40.7715, -64.781, -25.950, 118.828, 2.747, 31.120, -27.100, 26.50,,,,,,,,,,,,,,,,
 23:20:26.831,COM12,, 0.4878, -0.9077, 0.2217, -20.4468, -12.8784, -10.8032, -67.297, -28.916, 117.960, 2.033, 32.047, -26.920, 26.49,,,,,,,,,,,,,,,,
 23:20:26.941,COM12,, 0.4111, -0.8662, 0.2915, 10.6812, 3.7231, 18.0054, -68.022, -28.707, 119.185, 1.540, 32.620, -26.667, 26.49,,,,,,,,,,,,,,,,
 23:20:27.035,COM12,, 0.3936, -0.8232, 0.3149, 43.3960, -4.0283, 39.8560, -65.797, -25.604, 120.795, 1.987, 31.993, -26.687, 26.49,,,,,,,,,,,,,,,,
 23:20:27.144,COM12,, 0.3804, -0.6948, 0.4951, 13.4277, 2.0142, 14.8926, -63.270, -23.434, 122.256, 2.027, 30.720, -26.913, 26.47,,,,,,,,,,,,,,,,
 23:20:27.238,COM12,, 0.5498, -0.7461, 0.4941, 5.3101, 15.8081, -10.0708, -62.551, -23.088, 121.399, 2.320, 30.260, -26.900, 26.50,,,,,,,,,,,,,,,,
 23:20:27.333,COM12,, 0.4053, -0.8403, 0.5454, -19.7754, 39.4287, -31.3110, -60.793, -24.593, 116.461, 3.520, 29.520, -28.047, 26.49,,,,,,,,,,,,,,,,
 23:20:27.443,COM12,, 0.3940, -0.9072, 0.3530, -3.6011, 17.8833, -8.3618, -61.172, -24.252, 112.901, 6.013, 29.780, -28.733, 26.47,,,,,,,,,,,,,,,,
 23:20:27.540,COM12,, 0.4077, -0.8110, 0.4248, -5.5542, -7.8735, 1.0986, -61.232, -23.967, 112.885, 7.133, 29.847, -29.040, 26.50,,,,,,,,,,,,,,,,
 23:20:27.635,COM12,, 0.4053, -0.8198, 0.4331, -5.3711, -6.8359, 5.4321, -61.831, -24.077, 113.906, 6.907, 30.053, -28.907, 26.50,,,,,,,,,,,,,,,,
 23:20:27.728,COM12,, 0.3750, -0.8477, 0.3921, 9.8877, -9.2773, 6.3477, -61.996, -23.835, 115.109, 6.327, 30.267, -28.480, 26.49,,,,,,,,,,,,,,,,
 23:20:27.837,COM12,, 0.3882, -0.7334, 0.5195, 22.5830, 1.2207, 2.6855, -60.551, -23.286, 116.158, 5.620, 29.700, -28.347, 26.52,,,,,,,,,,,,,,,,
 23:20:27.931,COM12,, 0.3940, -0.8091, 0.4419, -5.0049, -0.4883, 0.9155, -60.463, -23.165, 116.422, 5.340, 29.320, -28.393, 26.49,,,,,,,,,,,,,,,,
