Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:24:54.581,COM12,, 0.3203, -0.8145, 0.5024, 0.7324, 1.0376, -0.7324, -58.876, -18.776, 107.968, 7.867, 30.160, -27.607, 26.96,,,,,,,,,,,,,,,,
 23:24:54.691,COM12,, 0.3115, -0.8125, 0.4932, -1.8921, -0.0610, 0.3662, -58.925, -18.765, 108.111, 8.000, 30.013, -27.733, 26.93,,,,,,,,,,,,,,,,
 23:24:54.787,COM12,, 0.3154, -0.8105, 0.4941, 1.4648, -0.0610, -1.2817, -58.964, -18.748, 108.303, 8.027, 30.180, -27.493, 26.94,,,,,,,,,,,,,,,,
 23:24:54.884,COM12,, 0.3242, -0.8042, 0.4995, -0.1221, 0.4272, 0.0000, -58.881, -18.781, 108.397, 8.087, 30.013, -27.473, 26.96,,,,,,,,,,,,,,,,
 23:24:54.976,COM12,, 0.3213, -0.8096, 0.5044, 0.6714, 0.6714, -0.9766, -58.876, -18.814, 108.495, 8.113, 30.053, -27.467, 26.99,,,,,,,,,,,,,,,,
 23:24:55.087,COM12,, 0.3154, -0.8091, 0.4941, -0.3052, 0.4883, 0.0000, -58.881, -18.798, 108.578, 8.153, 30.107, -27.700, 26.96,,,,,,,,,,,,,,,,
 23:24:55.182,COM12,, 0.3154, -0.8101, 0.4956, -0.6714, -0.3052, 0.0610, -58.898, -18.787, 108.710, 8.033, 30.127, -27.573, 26.94,,,,,,,,,,,,,,,,
 23:24:55.277,COM12,, 0.3188, -0.8062, 0.4961, -1.0986, -0.3052, 0.0000, -58.909, -18.798, 108.836, 8.060, 30.120, -27.693, 26.94,,,,,,,,,,,,,,,,
 23:24:55.388,COM12,, 0.3193, -0.8110, 0.4922, -0.4883, -0.0610, 0.1221, -58.931, -18.814, 108.946, 8.080, 30.120, -27.553, 26.96,,,,,,,,,,,,,,,,
 23:24:55.484,COM12,, 0.3169, -0.8169, 0.4922, 0.3052, -0.4272, -0.8545, -58.936, -18.825, 109.083, 8.013, 30.060, -27.547, 26.96,,,,,,,,,,,,,,,,
 23:24:55.579,COM12,, 0.3223, -0.8101, 0.4912, -0.8545, -0.6714, -0.1221, -58.892, -18.831, 109.171, 8.020, 30.120, -27.353, 26.96,,,,,,,,,,,,,,,,
 23:24:55.689,COM12,, 0.3223, -0.8091, 0.4966, -0.6104, -0.5493, -0.3052, -58.876, -18.847, 109.281, 8.053, 30.080, -27.560, 26.93,,,,,,,,,,,,,,,,
 23:24:55.784,COM12,, 0.3145, -0.8066, 0.5000, 0.4272, 0.6714, 0.4272, -58.832, -18.809, 109.352, 8.133, 30.067, -27.727, 26.96,,,,,,,,,,,,,,,,
 23:24:55.878,COM12,, 0.3218, -0.8101, 0.4941, -0.1831, -0.6104, 0.0610, -58.876, -18.792, 109.473, 8.067, 30.053, -27.560, 26.96,,,,,,,,,,,,,,,,
 23:24:55.987,COM12,, 0.3208, -0.8120, 0.4961, -1.0376, -0.9766, 0.0610, -58.898, -18.809, 109.594, 8.113, 30.087, -27.640, 26.96,,,,,,,,,,,,,,,,
 23:24:56.081,COM12,, 0.3228, -0.8071, 0.5010, -0.6714, -0.0610, 0.3662, -58.931, -18.803, 109.720, 7.987, 30.133, -27.613, 26.96,,,,,,,,,,,,,,,,
 23:24:56.176,COM12,, 0.3208, -0.8086, 0.4971, -0.0610, -0.6714, 0.1221, -58.947, -18.776, 109.803, 8.087, 30.127, -27.560, 26.96,,,,,,,,,,,,,,,,
 23:24:56.272,COM12,, 0.3052, -0.8120, 0.4946, 0.5493, -1.0986, -0.5493, -58.953, -18.831, 109.962, 8.027, 30.007, -27.700, 26.97,,,,,,,,,,,,,,,,
 23:24:56.382,COM12,, 0.3301, -0.8062, 0.4814, -1.8311, -3.0518, -1.4648, -59.057, -18.946, 110.226, 7.827, 30.213, -27.447, 26.97,,,,,,,,,,,,,,,,
 23:24:56.476,COM12,, 0.3174, -0.8096, 0.4893, -0.1831, -3.4180, -2.1362, -59.084, -19.221, 110.385, 7.693, 30.113, -27.540, 26.94,,,,,,,,,,,,,,,,
 23:24:56.586,COM12,, 0.3408, -0.8110, 0.4883, -0.6714, -0.4272, -0.4272, -59.172, -19.484, 110.572, 7.367, 30.193, -27.393, 26.97,,,,,,,,,,,,,,,,
 23:24:56.680,COM12,, 0.3315, -0.8086, 0.4941, -0.1831, -1.0986, -0.1831, -59.145, -19.512, 110.621, 7.367, 30.200, -27.420, 26.96,,,,,,,,,,,,,,,,
 23:24:56.774,COM12,, 0.3872, -0.7690, 0.4805, -9.3994, -14.5874, -2.5635, -59.601, -19.891, 111.110, 7.087, 30.327, -27.347, 26.94,,,,,,,,,,,,,,,,
 23:24:56.884,COM12,, 0.3735, -0.8638, 0.4551, -4.6997, -22.5830, -6.7749, -61.359, -21.731, 112.956, 5.567, 30.960, -26.667, 26.96,,,,,,,,,,,,,,,,
 23:24:56.979,COM12,, 0.4175, -0.7734, 0.4238, 2.2583, -24.7803, -1.3428, -62.100, -23.159, 114.950, 3.700, 31.193, -26.187, 26.99,,,,,,,,,,,,,,,,
 23:24:57.072,COM12,, 0.4346, -0.7563, 0.4214, 11.2305, -29.3579, -3.6621, -62.770, -24.983, 117.647, 1.620, 31.113, -25.507, 26.94,,,,,,,,,,,,,,,,
 23:24:57.181,COM12,, 0.4712, -0.7793, 0.4287, 8.9111, -21.3013, -4.1504, -62.935, -26.428, 119.850, -0.427, 30.673, -24.960, 26.99,,,,,,,,,,,,,,,,
 23:24:57.275,COM12,, 0.4360, -0.7827, 0.4404, -2.0142, 5.3101, 2.0752, -62.968, -26.823, 120.366, -1.473, 30.393, -24.700, 26.94,,,,,,,,,,,,,,,,
 23:24:57.370,COM12,, 0.4390, -0.7983, 0.4023, 1.7700, 7.2632, 5.2490, -62.430, -25.895, 119.323, -1.000, 30.327, -24.787, 26.99,,,,,,,,,,,,,,,,
 23:24:57.480,COM12,, 0.4438, -0.7896, 0.4404, 0.7935, 5.8594, 2.8076, -62.139, -25.362, 118.647, -0.533, 30.373, -24.967, 26.96,,,,,,,,,,,,,,,,
