Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:36:38.631,COM12,, 0.4551, -0.8315, 0.3267, 3.0518, 1.0376, 0.9766, -69.362, -27.109, 153.424, -1.967, 20.340, -32.800, 26.52,,,,,,,,,,,,,,,,
 23:36:38.740,COM12,, 0.4600, -0.8301, 0.3320, 6.6528, 0.0610, -0.1831, -68.774, -27.021, 153.336, -1.927, 20.240, -32.867, 26.52,,,,,,,,,,,,,,,,
 23:36:38.835,COM12,, 0.4561, -0.8257, 0.3418, 1.0986, -0.5493, -1.4648, -68.412, -27.125, 153.254, -1.900, 19.880, -32.767, 26.47,,,,,,,,,,,,,,,,
 23:36:38.929,COM12,, 0.4561, -0.8232, 0.3345, 0.0000, -1.5869, -1.7700, -68.395, -27.263, 153.248, -2.033, 19.847, -32.980, 26.53,,,,,,,,,,,,,,,,
 23:36:39.039,COM12,, 0.4624, -0.8257, 0.3291, -0.6714, -1.3428, -1.4038, -68.615, -27.455, 153.237, -2.087, 19.933, -32.780, 26.49,,,,,,,,,,,,,,,,
 23:36:39.135,COM12,, 0.4644, -0.8237, 0.3267, -1.4038, -0.7935, -1.1597, -68.730, -27.614, 153.232, -2.367, 19.900, -32.773, 26.50,,,,,,,,,,,,,,,,
 23:36:39.228,COM12,, 0.4648, -0.8306, 0.3223, -1.3428, -0.9766, -1.0376, -68.879, -27.713, 153.199, -2.253, 19.920, -32.793, 26.49,,,,,,,,,,,,,,,,
 23:36:39.337,COM12,, 0.4673, -0.8325, 0.3184, -0.6714, -0.4272, -0.9766, -68.928, -27.790, 153.166, -2.400, 19.940, -32.807, 26.50,,,,,,,,,,,,,,,,
 23:36:39.431,COM12,, 0.4600, -0.8276, 0.3228, -0.7324, -0.1221, -0.1831, -68.901, -27.834, 153.122, -2.367, 20.007, -32.867, 26.49,,,,,,,,,,,,,,,,
 23:36:39.526,COM12,, 0.4639, -0.8228, 0.3257, -0.4883, -0.2441, 0.1221, -68.912, -27.850, 153.089, -2.413, 19.920, -32.880, 26.50,,,,,,,,,,,,,,,,
 23:36:39.636,COM12,, 0.4727, -0.8105, 0.3408, 0.4883, 0.0000, 0.4272, -68.813, -27.872, 153.040, -2.387, 19.953, -32.807, 26.52,,,,,,,,,,,,,,,,
 23:36:39.730,COM12,, 0.4658, -0.8164, 0.3394, -0.3662, -0.3662, 0.3052, -68.824, -27.889, 153.012, -2.420, 19.993, -32.747, 26.50,,,,,,,,,,,,,,,,
 23:36:39.824,COM12,, 0.4658, -0.8193, 0.3330, -1.8921, -1.0986, 0.1831, -68.950, -27.883, 153.023, -2.520, 20.047, -32.767, 26.53,,,,,,,,,,,,,,,,
 23:36:39.932,COM12,, 0.4653, -0.8301, 0.3174, -0.4272, -0.1831, -0.3662, -69.148, -27.889, 153.062, -2.380, 20.053, -32.753, 26.50,,,,,,,,,,,,,,,,
 23:36:40.026,COM12,, 0.4673, -0.8296, 0.3184, -0.0610, -0.5493, -0.8545, -69.131, -27.938, 153.029, -2.427, 20.027, -32.780, 26.53,,,,,,,,,,,,,,,,
 23:36:40.135,COM12,, 0.4585, -0.8135, 0.3354, 1.7090, 1.2207, 0.1831, -68.950, -27.933, 152.902, -2.307, 19.967, -32.840, 26.52,,,,,,,,,,,,,,,,
 23:36:40.229,COM12,, 0.4614, -0.8198, 0.3218, 2.7466, 0.6104, -0.0610, -68.730, -27.889, 152.743, -2.253, 19.953, -32.773, 26.52,,,,,,,,,,,,,,,,
 23:36:40.322,COM12,, 0.4678, -0.8188, 0.3281, -0.3052, 0.0000, -0.3052, -68.577, -27.905, 152.655, -2.173, 19.767, -32.960, 26.47,,,,,,,,,,,,,,,,
 23:36:40.432,COM12,, 0.4741, -0.8179, 0.3345, -0.4272, -0.0610, -0.2441, -68.522, -27.933, 152.611, -2.100, 19.747, -32.833, 26.49,,,,,,,,,,,,,,,,
 23:36:40.526,COM12,, 0.4712, -0.8154, 0.3423, -0.3052, -0.4272, -0.3052, -68.511, -27.982, 152.600, -2.187, 19.700, -32.780, 26.49,,,,,,,,,,,,,,,,
 23:36:40.620,COM12,, 0.4849, -0.8164, 0.3354, 0.7935, -0.7935, -0.3662, -68.516, -28.015, 152.595, -2.253, 19.740, -32.653, 26.50,,,,,,,,,,,,,,,,
 23:36:40.731,COM12,, 0.4780, -0.8604, 0.3232, 10.0098, 1.8921, 3.9063, -68.258, -27.905, 152.545, -2.333, 19.720, -32.667, 26.53,,,,,,,,,,,,,,,,
 23:36:40.824,COM12,, 0.4067, -0.8457, 0.4175, 39.0625, 20.1416, 8.3618, -65.550, -26.906, 151.771, -1.633, 18.673, -32.873, 26.49,,,,,,,,,,,,,,,,
 23:36:40.934,COM12,, 0.3979, -0.8159, 0.4185, 15.6860, 20.8740, -11.0474, -61.804, -25.675, 149.502, 0.293, 16.780, -33.247, 26.47,,,,,,,,,,,,,,,,
 23:36:41.027,COM12,, 0.5195, -0.8101, 0.3560, -26.9775, -26.7944, -13.3057, -63.655, -26.927, 149.562, 0.807, 16.493, -33.573, 26.49,,,,,,,,,,,,,,,,
 23:36:41.121,COM12,, 0.5063, -0.7993, 0.4131, -2.8076, -12.6953, -9.2163, -65.253, -29.070, 151.469, -1.167, 17.000, -33.120, 26.52,,,,,,,,,,,,,,,,
 23:36:41.231,COM12,, 0.4541, -0.7939, 0.4038, 10.7422, 23.9868, 8.7280, -64.605, -28.510, 150.738, -1.507, 17.233, -32.980, 26.53,,,,,,,,,,,,,,,,
 23:36:41.325,COM12,, 0.4673, -0.7676, 0.4551, 13.7329, 33.2031, 4.5776, -62.111, -26.559, 147.931, 0.540, 16.553, -33.473, 26.50,,,,,,,,,,,,,,,,
