Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:40:10.377,COM12,, 0.3921, -0.8130, 0.4404, 2.6855, 0.0000, 0.0610, -62.221, -23.588, 143.723, -0.207, 20.747, -30.907, 26.47,,,,,,,,,,,,,,,,
 23:40:10.470,COM12,, 0.3926, -0.8120, 0.4185, 0.8545, -0.1831, -0.1831, -62.265, -23.549, 143.690, -0.167, 20.653, -31.000, 26.47,,,,,,,,,,,,,,,,
 23:40:10.565,COM12,, 0.4053, -0.8101, 0.4194, -0.7324, 0.0000, 0.2441, -62.292, -23.549, 143.679, -0.140, 20.687, -31.140, 26.43,,,,,,,,,,,,,,,,
 23:40:10.674,COM12,, 0.4038, -0.8096, 0.4341, -0.6104, -0.0610, -0.1221, -62.303, -23.571, 143.701, -0.167, 20.660, -31.053, 26.47,,,,,,,,,,,,,,,,
 23:40:10.770,COM12,, 0.4058, -0.8101, 0.4321, -0.1221, -0.0610, 0.0610, -62.314, -23.571, 143.712, -0.153, 20.633, -31.033, 26.46,,,,,,,,,,,,,,,,
 23:40:10.864,COM12,, 0.4028, -0.8120, 0.4321, -0.0610, -0.2441, -0.0610, -62.298, -23.593, 143.745, -0.260, 20.673, -30.980, 26.46,,,,,,,,,,,,,,,,
 23:40:10.974,COM12,, 0.4009, -0.8037, 0.4370, 0.0000, -0.3052, -0.2441, -62.265, -23.615, 143.767, -0.273, 20.573, -30.773, 26.47,,,,,,,,,,,,,,,,
 23:40:11.069,COM12,, 0.3999, -0.8032, 0.4375, 0.8545, -0.0610, -0.1221, -62.238, -23.648, 143.778, -0.307, 20.600, -31.027, 26.49,,,,,,,,,,,,,,,,
 23:40:11.162,COM12,, 0.4019, -0.8081, 0.4312, 0.3052, 0.0000, -0.6104, -62.243, -23.703, 143.773, -0.273, 20.627, -31.093, 26.47,,,,,,,,,,,,,,,,
 23:40:11.273,COM12,, 0.4038, -0.8135, 0.4238, 0.6104, -0.2441, -0.3052, -62.281, -23.741, 143.784, -0.320, 20.633, -31.033, 26.50,,,,,,,,,,,,,,,,
 23:40:11.366,COM12,, 0.4023, -0.8174, 0.4224, -0.6104, -0.1221, 0.3052, -62.309, -23.752, 143.806, -0.347, 20.567, -31.060, 26.44,,,,,,,,,,,,,,,,
 23:40:11.460,COM12,, 0.4043, -0.8076, 0.4272, -0.7324, 0.0000, 0.0610, -62.303, -23.758, 143.828, -0.413, 20.593, -30.947, 26.50,,,,,,,,,,,,,,,,
