Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:14:54.520,COM12,, 0.3140, -0.7725, 0.5664, -0.6104, 0.3052, 0.0610, -54.981, -18.331, 135.165, -2.540, 23.340, -27.000, 25.18,,,,,,,,,,,,,,,,
 00:14:54.614,COM12,, 0.3237, -0.7856, 0.5503, 10.1929, 4.3335, -9.8877, -54.827, -18.331, 135.011, -2.453, 23.447, -27.040, 25.19,,,,,,,,,,,,,,,,
 00:14:54.723,COM12,, 0.2949, -0.8037, 0.5493, -9.2163, 1.1597, 4.0283, -54.827, -18.254, 134.824, -2.453, 23.247, -27.293, 25.16,,,,,,,,,,,,,,,,
 00:14:54.817,COM12,, 0.3237, -0.7568, 0.5259, -1.3428, -1.4648, 1.7700, -55.432, -18.001, 135.088, -2.400, 23.640, -27.133, 25.19,,,,,,,,,,,,,,,,
 00:14:54.926,COM12,, 0.3179, -0.7798, 0.5552, 1.1597, -0.3662, -0.6104, -55.382, -18.083, 135.231, -2.340, 23.740, -27.027, 25.16,,,,,,,,,,,,,,,,
 00:14:55.021,COM12,, 0.3066, -0.7803, 0.5498, -1.0376, 0.4883, 0.0000, -55.388, -18.078, 135.220, -2.440, 23.747, -26.960, 25.16,,,,,,,,,,,,,,,,
 00:14:55.115,COM12,, 0.3242, -0.7749, 0.5459, 0.7324, 0.1221, -0.5493, -55.453, -18.045, 135.181, -2.453, 23.847, -27.127, 25.18,,,,,,,,,,,,,,,,
 00:14:55.223,COM12,, 0.3057, -0.7642, 0.5562, -1.6479, -2.7466, 3.1738, -55.437, -18.062, 135.247, -2.453, 23.827, -27.033, 25.18,,,,,,,,,,,,,,,,
 00:14:55.319,COM12,, 0.3335, -0.8281, 0.5103, 3.6621, -0.0610, -2.8687, -55.629, -18.100, 135.286, -2.473, 23.860, -26.720, 25.18,,,,,,,,,,,,,,,,
 00:14:55.412,COM12,, 0.3198, -0.7852, 0.5547, -1.0376, 0.9155, 0.1831, -55.349, -18.188, 135.253, -2.493, 23.773, -26.973, 25.18,,,,,,,,,,,,,,,,
