Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:22:17.737,COM12,, 0.3359, -0.8120, 0.4771, -0.9155, 0.4883, 0.3052, -59.381, -19.633, 140.460, -2.827, 24.640, -27.680, 25.67,,,,,,,,,,,,,,,,
 00:22:17.831,COM12,, 0.3423, -0.8066, 0.4814, -0.7324, 0.1221, 0.0610, -59.403, -19.616, 140.455, -2.867, 24.667, -27.800, 25.67,,,,,,,,,,,,,,,,
 00:22:17.941,COM12,, 0.3345, -0.8081, 0.4844, -0.3052, 0.0000, 0.4272, -59.409, -19.611, 140.499, -2.907, 24.673, -27.793, 25.69,,,,,,,,,,,,,,,,
 00:22:18.034,COM12,, 0.3379, -0.8135, 0.4805, 0.1831, 0.0000, 0.0610, -59.425, -19.589, 140.526, -2.793, 24.633, -27.947, 25.69,,,,,,,,,,,,,,,,
 00:22:18.128,COM12,, 0.3335, -0.8101, 0.4785, 0.0000, 0.0000, 0.3662, -59.425, -19.578, 140.554, -2.820, 24.700, -27.840, 25.67,,,,,,,,,,,,,,,,
 00:22:18.240,COM12,, 0.3359, -0.8154, 0.4766, 0.4883, -0.1221, -0.3052, -59.431, -19.578, 140.554, -2.820, 24.707, -27.687, 25.69,,,,,,,,,,,,,,,,
 00:22:18.334,COM12,, 0.3374, -0.8120, 0.4824, 0.2441, -0.3662, 0.1221, -59.370, -19.644, 140.636, -2.893, 24.620, -27.773, 25.69,,,,,,,,,,,,,,,,
 00:22:18.428,COM12,, 0.3320, -0.8091, 0.4854, -0.4272, -0.0610, 0.6714, -59.420, -19.600, 140.663, -2.940, 24.593, -27.587, 25.69,,,,,,,,,,,,,,,,
 00:22:18.538,COM12,, 0.3350, -0.8086, 0.4858, 0.1831, -0.2441, 0.1831, -59.431, -19.578, 140.669, -2.773, 24.727, -27.927, 25.69,,,,,,,,,,,,,,,,
 00:22:18.633,COM12,, 0.3364, -0.8071, 0.4849, -0.1831, -0.1221, 0.0000, -59.464, -19.572, 140.674, -2.860, 24.780, -27.793, 25.69,,,,,,,,,,,,,,,,
 00:22:18.726,COM12,, 0.3320, -0.8130, 0.4854, 0.7324, 0.2441, 0.0000, -59.442, -19.561, 140.674, -2.880, 24.747, -27.693, 25.67,,,,,,,,,,,,,,,,
 00:22:18.837,COM12,, 0.3325, -0.8135, 0.4751, 0.6714, -0.0610, 0.0000, -59.431, -19.550, 140.685, -2.900, 24.773, -27.620, 25.67,,,,,,,,,,,,,,,,
 00:22:18.931,COM12,, 0.3340, -0.8193, 0.4722, 0.0000, 0.0000, 0.0000, -59.436, -19.561, 140.680, -2.860, 24.767, -27.720, 25.69,,,,,,,,,,,,,,,,
 00:22:19.025,COM12,, 0.3369, -0.8154, 0.4731, -0.1831, -0.0610, 0.0000, -59.431, -19.567, 140.691, -2.900, 24.747, -27.647, 25.69,,,,,,,,,,,,,,,,
 00:22:19.134,COM12,, 0.3384, -0.8193, 0.4702, -0.6714, 0.3662, 0.0000, -59.420, -19.583, 140.691, -2.940, 24.673, -27.707, 25.70,,,,,,,,,,,,,,,,
 00:22:19.228,COM12,, 0.3433, -0.8091, 0.4819, -0.4883, 0.2441, 0.0610, -59.387, -19.600, 140.707, -2.927, 24.680, -27.693, 25.67,,,,,,,,,,,,,,,,
 00:22:19.322,COM12,, 0.3359, -0.8091, 0.4834, 0.0000, 0.0610, -0.4272, -59.370, -19.622, 140.718, -2.960, 24.767, -27.813, 25.69,,,,,,,,,,,,,,,,
 00:22:19.433,COM12,, 0.3389, -0.8057, 0.4829, -0.6104, 0.1221, -0.6714, -59.343, -19.644, 140.718, -2.953, 24.727, -27.840, 25.70,,,,,,,,,,,,,,,,
 00:22:19.525,COM12,, 0.3003, -0.7993, 0.5049, 1.1597, 1.8921, -1.6479, -59.271, -19.715, 140.559, -2.973, 24.627, -27.507, 25.69,,,,,,,,,,,,,,,,
 00:22:19.636,COM12,, 0.3374, -0.8062, 0.4180, -7.2632, -1.5259, -8.6060, -59.084, -19.781, 139.823, -2.760, 24.540, -28.107, 25.67,,,,,,,,,,,,,,,,
 00:22:19.730,COM12,, 0.3281, -0.8032, 0.5015, 11.5356, -0.1221, 4.0894, -58.541, -19.748, 140.328, -2.867, 24.380, -27.980, 25.67,,,,,,,,,,,,,,,,
