Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:29:04.374,COM12,, 0.3340, -0.8535, 0.3950, -0.1831, 0.0610, -0.1221, -65.149, -19.929, 144.602, -1.073, 25.900, -29.153, 25.83,,,,,,,,,,,,,,,,
 00:29:04.469,COM12,, 0.3369, -0.8564, 0.3921, 0.4272, -0.4272, -0.4272, -65.193, -19.896, 144.597, -1.047, 25.860, -29.220, 25.83,,,,,,,,,,,,,,,,
 00:29:04.579,COM12,, 0.3389, -0.8501, 0.3970, -0.1221, 0.0000, 0.1831, -65.187, -19.891, 144.608, -1.153, 25.993, -29.140, 25.81,,,,,,,,,,,,,,,,
 00:29:04.673,COM12,, 0.3374, -0.8560, 0.3965, 0.0000, -0.1831, -0.2441, -65.220, -19.863, 144.608, -1.120, 25.953, -29.307, 25.84,,,,,,,,,,,,,,,,
 00:29:04.782,COM12,, 0.3433, -0.8535, 0.3955, -0.3052, -0.1221, -0.0610, -65.226, -19.863, 144.619, -1.140, 25.987, -29.213, 25.84,,,,,,,,,,,,,,,,
 00:29:04.878,COM12,, 0.3379, -0.8511, 0.4023, -0.1831, -0.1221, -0.2441, -65.209, -19.874, 144.619, -1.080, 25.960, -29.313, 25.83,,,,,,,,,,,,,,,,
 00:29:04.972,COM12,, 0.3394, -0.8516, 0.3984, 0.0610, -0.1831, -0.3052, -65.215, -19.880, 144.613, -1.073, 25.907, -29.320, 25.83,,,,,,,,,,,,,,,,
 00:29:05.082,COM12,, 0.3379, -0.8540, 0.3975, -0.0610, -0.0610, 0.0000, -65.209, -19.896, 144.613, -1.053, 25.887, -29.213, 25.81,,,,,,,,,,,,,,,,
 00:29:05.176,COM12,, 0.3433, -0.8516, 0.3955, 0.1221, -0.1831, 0.0610, -65.198, -19.902, 144.613, -1.093, 25.907, -29.113, 25.86,,,,,,,,,,,,,,,,
 00:29:05.270,COM12,, 0.3384, -0.8525, 0.4014, -0.6104, -0.1831, -0.3052, -65.193, -19.918, 144.602, -1.053, 25.900, -29.240, 25.83,,,,,,,,,,,,,,,,
 00:29:05.381,COM12,, 0.3379, -0.8481, 0.4004, -0.1831, -0.2441, -0.2441, -65.193, -19.924, 144.602, -1.120, 25.993, -29.240, 25.81,,,,,,,,,,,,,,,,
 00:29:05.474,COM12,, 0.3369, -0.8511, 0.3970, 0.3052, -0.1221, -0.0610, -65.198, -19.924, 144.602, -1.147, 25.893, -29.247, 25.81,,,,,,,,,,,,,,,,
 00:29:05.568,COM12,, 0.3369, -0.8525, 0.3955, 0.4272, -0.3662, -0.4272, -65.193, -19.940, 144.597, -1.093, 25.967, -29.247, 25.84,,,,,,,,,,,,,,,,
 00:29:05.678,COM12,, 0.3389, -0.8516, 0.3960, 0.3052, -0.1831, -0.3662, -65.182, -19.951, 144.597, -1.200, 25.920, -29.227, 25.80,,,,,,,,,,,,,,,,
 00:29:05.772,COM12,, 0.3428, -0.8481, 0.3955, -1.5259, 0.0610, 0.0610, -65.226, -19.962, 144.580, -1.160, 25.913, -29.093, 25.81,,,,,,,,,,,,,,,,
 00:29:05.866,COM12,, 0.3398, -0.8394, 0.3945, 4.2114, 0.3662, 0.4883, -65.215, -19.962, 144.536, -1.140, 25.947, -29.167, 25.83,,,,,,,,,,,,,,,,
 00:29:05.976,COM12,, 0.3384, -0.8545, 0.3979, 0.4272, 0.2441, -0.2441, -65.127, -19.973, 144.498, -1.093, 25.940, -29.320, 25.84,,,,,,,,,,,,,,,,
 00:29:06.070,COM12,, 0.3115, -0.8511, 0.3975, 0.9766, 0.6714, -0.0610, -65.149, -19.984, 144.514, -1.140, 25.933, -29.247, 25.87,,,,,,,,,,,,,,,,
 00:29:06.165,COM12,, 0.3174, -0.8545, 0.3779, 4.0894, 3.4790, 0.1831, -64.924, -19.913, 144.388, -1.040, 25.760, -29.467, 25.84,,,,,,,,,,,,,,,,
 00:29:06.275,COM12,, 0.3945, -0.8838, 0.3511, 2.9907, -17.3950, 5.1270, -64.589, -19.858, 144.877, -1.240, 25.760, -29.307, 25.83,,,,,,,,,,,,,,,,
 00:29:06.369,COM12,, 0.3062, -0.8047, 0.5117, 15.8081, -6.1035, 9.2163, -64.248, -19.138, 147.387, -2.313, 26.460, -28.440, 25.83,,,,,,,,,,,,,,,,
