Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:41:04.673,COM12,, 0.3818, -0.7178, 0.5879, 0.2441, 0.0000, -0.0610, -51.367, -22.247, 125.782, 2.213, 20.387, -30.480, 25.73,,,,,,,,,,,,,,,,
 00:41:04.768,COM12,, 0.3799, -0.7231, 0.5854, 0.4883, -0.1221, -0.0610, -51.372, -22.247, 125.782, 2.173, 20.380, -30.413, 25.73,,,,,,,,,,,,,,,,
 00:41:04.878,COM12,, 0.3770, -0.7231, 0.5811, -0.3662, -0.1831, 0.0000, -51.389, -22.242, 125.815, 2.200, 20.467, -30.433, 25.75,,,,,,,,,,,,,,,,
 00:41:04.974,COM12,, 0.3643, -0.7271, 0.5786, -0.1831, 0.0000, 0.2441, -51.394, -22.214, 125.815, 2.173, 20.373, -30.447, 25.73,,,,,,,,,,,,,,,,
 00:41:05.068,COM12,, 0.3789, -0.6987, 0.5869, 2.1362, -0.8545, 1.7090, -51.251, -22.132, 125.909, 2.187, 20.347, -30.427, 25.75,,,,,,,,,,,,,,,,
 00:41:05.177,COM12,, 0.3784, -0.7383, 0.5879, -1.0376, -1.4648, -1.0376, -51.323, -22.253, 125.942, 2.073, 20.480, -30.553, 25.72,,,,,,,,,,,,,,,,
 00:41:05.270,COM12,, 0.3794, -0.7227, 0.5835, -0.4883, 0.0000, 0.1221, -51.367, -22.286, 125.969, 2.147, 20.420, -30.380, 25.72,,,,,,,,,,,,,,,,
 00:41:05.363,COM12,, 0.3794, -0.7236, 0.5811, 0.1221, -0.3662, -0.4272, -51.389, -22.302, 125.958, 2.053, 20.513, -30.500, 25.73,,,,,,,,,,,,,,,,
 00:41:05.472,COM12,, 0.3779, -0.7251, 0.5796, -0.1831, -0.1831, -0.0610, -51.389, -22.313, 125.958, 2.067, 20.520, -30.407, 25.70,,,,,,,,,,,,,,,,
 00:41:05.565,COM12,, 0.3799, -0.7241, 0.5811, -0.4883, 0.0000, 0.0000, -51.378, -22.313, 125.942, 2.067, 20.473, -30.373, 25.75,,,,,,,,,,,,,,,,
 00:41:05.674,COM12,, 0.3799, -0.7251, 0.5801, -0.2441, 0.0000, 0.0000, -51.389, -22.324, 125.942, 1.987, 20.420, -30.453, 25.73,,,,,,,,,,,,,,,,
 00:41:05.767,COM12,, 0.3789, -0.7251, 0.5806, 0.1831, 0.0000, 0.0000, -51.394, -22.324, 125.947, 1.973, 20.387, -30.440, 25.72,,,,,,,,,,,,,,,,
