Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 00:53:22.070,COM12,, 0.4434, -0.7520, 0.4795, 0.1831, 0.0000, 0.0000, -58.282, -26.581, 113.000, -3.307, 27.113, -27.340, 26.07,,,,,,,,,,,,,,,,
 00:53:22.165,COM12,, 0.4443, -0.7588, 0.4761, -0.0610, 0.0000, -0.3662, -58.293, -26.559, 113.626, -3.300, 27.020, -27.273, 26.02,,,,,,,,,,,,,,,,
 00:53:22.261,COM12,, 0.4512, -0.7627, 0.4717, -0.5493, -0.0610, 0.4272, -58.348, -26.554, 114.159, -3.293, 27.133, -27.193, 26.05,,,,,,,,,,,,,,,,
 00:53:22.356,COM12,, 0.4414, -0.7598, 0.4761, 0.2441, -0.1831, 0.0000, -58.337, -26.543, 114.686, -3.167, 27.060, -27.233, 26.05,,,,,,,,,,,,,,,,
 00:53:22.466,COM12,, 0.4512, -0.7637, 0.4722, 0.3052, -0.7935, 0.6104, -58.354, -26.537, 115.269, -3.280, 27.073, -27.527, 26.05,,,,,,,,,,,,,,,,
 00:53:22.559,COM12,, 0.4458, -0.7578, 0.4814, -0.1831, 0.1831, 0.5493, -58.299, -26.548, 115.763, -3.320, 27.060, -27.407, 26.08,,,,,,,,,,,,,,,,
 00:53:22.655,COM12,, 0.4492, -0.7646, 0.4712, 0.0000, -0.1831, -0.4272, -58.332, -26.543, 116.180, -3.293, 27.047, -27.420, 26.05,,,,,,,,,,,,,,,,
 00:53:22.763,COM12,, 0.4458, -0.7642, 0.4761, -1.1597, -0.1831, 2.1362, -58.343, -26.505, 116.620, -3.340, 27.047, -27.407, 26.05,,,,,,,,,,,,,,,,
 00:53:22.857,COM12,, 0.4448, -0.7627, 0.4736, 0.6714, 0.1221, 0.0000, -58.392, -26.439, 117.081, -3.340, 27.040, -27.327, 26.04,,,,,,,,,,,,,,,,
 00:53:22.968,COM12,, 0.4453, -0.7612, 0.4766, 0.3662, 0.1221, -0.5493, -58.293, -26.466, 117.400, -3.247, 27.000, -27.380, 26.04,,,,,,,,,,,,,,,,
 00:53:23.063,COM12,, 0.4458, -0.7588, 0.4771, 0.9766, -0.1221, -0.5493, -58.195, -26.521, 117.686, -3.273, 26.980, -27.107, 26.07,,,,,,,,,,,,,,,,
 00:53:23.157,COM12,, 0.4468, -0.7515, 0.4849, 0.4883, -0.0610, -0.2441, -58.079, -26.559, 117.977, -3.267, 26.833, -27.320, 26.04,,,,,,,,,,,,,,,,
 00:53:23.267,COM12,, 0.4487, -0.7563, 0.4810, 0.1221, -0.0610, 0.0000, -58.052, -26.576, 118.246, -3.260, 26.913, -27.507, 26.05,,,,,,,,,,,,,,,,
 00:53:23.361,COM12,, 0.4453, -0.7598, 0.4814, -0.6104, 0.0610, 0.1221, -58.057, -26.570, 118.515, -3.327, 26.873, -27.580, 26.04,,,,,,,,,,,,,,,,
 00:53:23.455,COM12,, 0.4463, -0.7588, 0.4785, -0.7935, -0.1221, 0.3052, -58.107, -26.543, 118.784, -3.287, 26.820, -27.467, 26.02,,,,,,,,,,,,,,,,
 00:53:23.565,COM12,, 0.4414, -0.7544, 0.4829, -0.6714, 0.0000, 0.7935, -58.129, -26.505, 119.070, -3.227, 26.860, -27.393, 26.05,,,,,,,,,,,,,,,,
 00:53:23.659,COM12,, 0.4404, -0.7598, 0.4771, -0.5493, -0.3662, -0.0610, -58.222, -26.472, 119.328, -3.253, 26.807, -27.480, 26.05,,,,,,,,,,,,,,,,
 00:53:23.756,COM12,, 0.4453, -0.7598, 0.4761, 0.0610, -0.5493, 0.0000, -58.244, -26.472, 119.581, -3.333, 27.000, -27.393, 26.02,,,,,,,,,,,,,,,,
