Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 01:00:44.984,COM12,, 0.3862, -0.8286, 0.4092, -0.4272, -0.1831, 0.1221, -64.177, -22.890, 121.860, -1.433, 31.460, -26.413, 25.90,,,,,,,,,,,,,,,,
 01:00:45.092,COM12,, 0.3945, -0.8252, 0.4102, 0.2441, 0.0000, -0.4272, -64.149, -22.896, 121.998, -1.347, 31.527, -26.447, 25.84,,,,,,,,,,,,,,,,
 01:00:45.187,COM12,, 0.3867, -0.8311, 0.4038, -0.5493, -0.1831, 0.0610, -64.210, -22.917, 122.146, -1.460, 31.447, -26.387, 25.81,,,,,,,,,,,,,,,,
 01:00:45.282,COM12,, 0.3945, -0.8223, 0.4180, -0.1831, 0.1831, 0.1831, -64.155, -22.934, 122.311, -1.453, 31.580, -26.627, 25.87,,,,,,,,,,,,,,,,
 01:00:45.391,COM12,, 0.3940, -0.8242, 0.4111, 0.0000, 0.0000, -0.1221, -64.166, -22.956, 122.437, -1.393, 31.540, -26.520, 25.87,,,,,,,,,,,,,,,,
 01:00:45.488,COM12,, 0.3960, -0.8252, 0.4102, -0.3662, -0.1221, 0.1831, -64.221, -22.961, 122.547, -1.440, 31.560, -26.467, 25.87,,,,,,,,,,,,,,,,
 01:00:45.582,COM12,, 0.3901, -0.8325, 0.4009, -0.0610, -0.0610, -0.2441, -64.248, -22.956, 122.668, -1.473, 31.540, -26.500, 25.87,,,,,,,,,,,,,,,,
 01:00:45.693,COM12,, 0.3887, -0.8271, 0.4058, -0.5493, -0.1831, 0.0610, -64.237, -22.956, 122.772, -1.480, 31.507, -26.487, 25.86,,,,,,,,,,,,,,,,
 01:00:45.787,COM12,, 0.3911, -0.8271, 0.4048, -0.3052, -0.1831, 0.0000, -64.259, -22.972, 122.871, -1.453, 31.540, -26.393, 25.84,,,,,,,,,,,,,,,,
 01:00:45.880,COM12,, 0.3926, -0.8286, 0.4106, -0.3052, -0.2441, 0.2441, -64.259, -22.972, 122.981, -1.473, 31.573, -26.480, 25.87,,,,,,,,,,,,,,,,
 01:00:45.990,COM12,, 0.3906, -0.8257, 0.4072, -0.3662, 0.0000, 0.1221, -64.308, -22.978, 123.085, -1.453, 31.553, -26.540, 25.87,,,,,,,,,,,,,,,,
 01:00:46.083,COM12,, 0.3877, -0.8306, 0.4038, 0.0000, -0.0610, -0.2441, -64.325, -22.945, 123.195, -1.440, 31.493, -26.447, 25.84,,,,,,,,,,,,,,,,
 01:00:46.178,COM12,, 0.3867, -0.8271, 0.4048, -0.5493, -0.0610, 0.0000, -64.314, -22.945, 123.283, -1.473, 31.607, -26.413, 25.87,,,,,,,,,,,,,,,,
 01:00:46.288,COM12,, 0.3896, -0.8267, 0.4058, -0.4272, 0.1221, 0.1831, -64.297, -22.945, 123.365, -1.480, 31.613, -26.513, 25.86,,,,,,,,,,,,,,,,
 01:00:46.382,COM12,, 0.3950, -0.8276, 0.4111, 0.1221, 0.0000, 0.2441, -64.265, -22.950, 123.426, -1.460, 31.540, -26.467, 25.84,,,,,,,,,,,,,,,,
 01:00:46.490,COM12,, 0.3853, -0.8330, 0.4009, -0.2441, 0.1831, -0.3052, -64.325, -22.956, 123.492, -1.453, 31.613, -26.480, 25.87,,,,,,,,,,,,,,,,
 01:00:46.584,COM12,, 0.3877, -0.8267, 0.4063, -1.1597, 0.0000, 0.2441, -64.319, -22.934, 123.574, -1.360, 31.627, -26.540, 25.84,,,,,,,,,,,,,,,,
