Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 01:10:05.260,COM12,, 0.4126, -0.7856, 0.4683, -0.9155, 0.4883, 0.3662, -59.606, -24.428, 139.493, -0.780, 21.627, -31.133, 25.46,,,,,,,,,,,,,,,,
 01:10:05.370,COM12,, 0.4077, -0.7827, 0.4692, -0.7935, 0.0610, 0.7935, -59.645, -24.384, 139.449, -0.800, 21.727, -31.107, 25.51,,,,,,,,,,,,,,,,
 01:10:05.464,COM12,, 0.4106, -0.7808, 0.4707, -0.1221, -0.6714, -0.1831, -59.678, -24.307, 139.427, -0.667, 21.753, -31.180, 25.49,,,,,,,,,,,,,,,,
 01:10:05.558,COM12,, 0.4121, -0.7847, 0.4678, -0.3052, -0.6104, 0.0000, -59.738, -24.291, 139.438, -0.627, 21.793, -31.080, 25.46,,,,,,,,,,,,,,,,
 01:10:05.668,COM12,, 0.4111, -0.7876, 0.4658, -0.4883, -0.5493, -0.3052, -59.782, -24.302, 139.449, -0.727, 21.787, -31.040, 25.46,,,,,,,,,,,,,,,,
 01:10:05.763,COM12,, 0.4131, -0.7920, 0.4624, -1.0376, -0.4883, 0.0000, -59.848, -24.340, 139.471, -0.627, 21.873, -31.133, 25.43,,,,,,,,,,,,,,,,
 01:10:05.857,COM12,, 0.4111, -0.7896, 0.4629, -0.4883, -0.3662, 0.0000, -59.886, -24.362, 139.493, -0.713, 21.787, -31.073, 25.45,,,,,,,,,,,,,,,,
 01:10:05.967,COM12,, 0.4155, -0.7871, 0.4658, -0.1831, -0.3052, -0.0610, -59.892, -24.390, 139.504, -0.740, 21.887, -31.153, 25.46,,,,,,,,,,,,,,,,
 01:10:06.062,COM12,, 0.4136, -0.7876, 0.4644, -0.0610, -0.2441, -0.1221, -59.897, -24.417, 139.526, -0.800, 21.920, -31.047, 25.48,,,,,,,,,,,,,,,,
 01:10:06.155,COM12,, 0.4126, -0.7856, 0.4634, -0.2441, -0.1221, 0.0000, -59.914, -24.428, 139.532, -0.787, 21.847, -31.133, 25.49,,,,,,,,,,,,,,,,
 01:10:06.267,COM12,, 0.4087, -0.7900, 0.4590, -0.2441, -0.3052, -0.2441, -59.930, -24.423, 139.537, -0.853, 21.867, -31.160, 25.45,,,,,,,,,,,,,,,,
 01:10:06.362,COM12,, 0.4087, -0.7881, 0.4609, -0.4883, -0.1221, 0.1221, -59.930, -24.423, 139.537, -0.800, 21.840, -30.973, 25.48,,,,,,,,,,,,,,,,
 01:10:06.455,COM12,, 0.4131, -0.7871, 0.4658, -0.0610, 0.0000, 0.3052, -59.914, -24.423, 139.548, -0.880, 21.907, -30.993, 25.48,,,,,,,,,,,,,,,,
