Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 01:13:00.486,COM12,, 0.3872, -0.7837, 0.4907, -1.0986, 0.0000, 0.3662, -58.497, -22.571, 135.786, 2.433, 21.353, -31.907, 25.55,,,,,,,,,,,,,,,,
 01:13:00.581,COM12,, 0.3809, -0.7896, 0.4839, 0.7935, -0.2441, -0.1831, -58.508, -22.588, 135.764, 2.320, 21.360, -32.147, 25.51,,,,,,,,,,,,,,,,
 01:13:00.689,COM12,, 0.3687, -0.7993, 0.4731, 0.1221, -0.1831, -0.2441, -58.508, -22.582, 135.769, 2.440, 21.433, -32.007, 25.54,,,,,,,,,,,,,,,,
 01:13:00.783,COM12,, 0.4048, -0.7749, 0.5127, 0.6714, -0.1831, -0.7935, -58.222, -22.577, 135.764, 2.420, 21.380, -32.013, 25.57,,,,,,,,,,,,,,,,
 01:13:00.892,COM12,, 0.3833, -0.7754, 0.4932, -3.6011, 0.5493, 1.4648, -58.365, -22.698, 135.736, 2.380, 21.233, -32.140, 25.60,,,,,,,,,,,,,,,,
 01:13:00.986,COM12,, 0.3730, -0.7915, 0.4736, -0.0610, -0.2441, 0.3662, -58.618, -22.648, 135.698, 2.380, 21.293, -32.113, 25.57,,,,,,,,,,,,,,,,
 01:13:01.081,COM12,, 0.3750, -0.8013, 0.4717, 0.5493, -0.6104, 1.4038, -58.683, -22.604, 135.692, 2.413, 21.333, -32.027, 25.54,,,,,,,,,,,,,,,,
 01:13:01.192,COM12,, 0.3789, -0.7920, 0.4824, -0.7935, -0.5493, 1.0986, -58.705, -22.555, 135.791, 2.467, 21.340, -32.000, 25.58,,,,,,,,,,,,,,,,
 01:13:01.285,COM12,, 0.3809, -0.7910, 0.4844, -1.8921, 0.0610, 0.9155, -58.804, -22.495, 135.928, 2.453, 21.473, -31.980, 25.57,,,,,,,,,,,,,,,,
 01:13:01.379,COM12,, 0.3750, -0.7920, 0.4790, 1.5259, -0.5493, -0.6104, -58.832, -22.440, 135.939, 2.513, 21.433, -31.873, 25.57,,,,,,,,,,,,,,,,
 01:13:01.489,COM12,, 0.3784, -0.7905, 0.4849, -0.9155, -0.0610, 0.4883, -58.793, -22.434, 135.950, 2.527, 21.560, -31.973, 25.54,,,,,,,,,,,,,,,,
 01:13:01.584,COM12,, 0.3823, -0.7920, 0.4834, 0.5493, 0.0000, -0.2441, -58.804, -22.456, 135.945, 2.473, 21.500, -31.867, 25.57,,,,,,,,,,,,,,,,
 01:13:01.679,COM12,, 0.3794, -0.7939, 0.4819, 0.0000, -0.2441, -0.0610, -58.782, -22.451, 135.923, 2.460, 21.553, -31.913, 25.54,,,,,,,,,,,,,,,,
 01:13:01.788,COM12,, 0.3804, -0.7910, 0.4839, -0.4883, -0.2441, 0.3052, -58.777, -22.473, 135.895, 2.387, 21.540, -31.960, 25.54,,,,,,,,,,,,,,,,
 01:13:01.882,COM12,, 0.3784, -0.7866, 0.4868, -0.7324, -0.0610, 0.2441, -58.793, -22.462, 135.917, 2.407, 21.507, -31.827, 25.57,,,,,,,,,,,,,,,,
 01:13:01.991,COM12,, 0.3784, -0.7866, 0.4863, 0.0610, -0.2441, 0.0000, -58.810, -22.451, 135.928, 2.447, 21.540, -32.040, 25.54,,,,,,,,,,,,,,,,
 01:13:02.087,COM12,, 0.3823, -0.7881, 0.4893, 0.0000, -0.1831, 0.0610, -58.799, -22.434, 135.956, 2.340, 21.440, -32.060, 25.55,,,,,,,,,,,,,,,,
 01:13:02.181,COM12,, 0.3813, -0.7881, 0.4858, 0.3662, -0.1221, -0.1221, -58.799, -22.451, 135.972, 2.427, 21.453, -31.927, 25.54,,,,,,,,,,,,,,,,
 01:13:02.291,COM12,, 0.3784, -0.7969, 0.4795, 0.1831, -0.1221, 0.0000, -58.804, -22.445, 135.967, 2.413, 21.427, -31.860, 25.57,,,,,,,,,,,,,,,,
 01:13:02.384,COM12,, 0.3828, -0.7861, 0.4888, -0.1831, -0.0610, 0.0000, -58.771, -22.440, 135.967, 2.433, 21.493, -31.800, 25.52,,,,,,,,,,,,,,,,
 01:13:02.479,COM12,, 0.3848, -0.7842, 0.4912, -0.2441, 0.2441, -0.7935, -58.733, -22.445, 135.961, 2.447, 21.427, -31.907, 25.54,,,,,,,,,,,,,,,,
 01:13:02.589,COM12,, 0.4512, -0.8071, 0.4585, -7.3853, -15.0757, -5.3711, -59.260, -22.473, 135.912, 2.447, 21.447, -31.933, 25.55,,,,,,,,,,,,,,,,
 01:13:02.683,COM12,, 0.3687, -0.7739, 0.4619, -6.7749, -9.7656, -3.4180, -59.777, -23.286, 136.258, 2.200, 21.580, -31.707, 25.55,,,,,,,,,,,,,,,,
 01:13:02.791,COM12,, 0.3940, -0.7773, 0.4629, 2.1362, -5.3711, -1.5259, -60.139, -23.923, 136.730, 1.867, 22.027, -31.307, 25.57,,,,,,,,,,,,,,,,
 01:13:02.884,COM12,, 0.4126, -0.7886, 0.4580, 1.0376, -0.4272, -0.4883, -60.057, -24.313, 137.379, 1.520, 22.193, -31.240, 25.54,,,,,,,,,,,,,,,,
