Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 01:23:18.857,COM12,, 0.4614, -0.7656, 0.4429, -0.3052, -0.3662, 0.5493, -59.299, -28.076, 127.090, 7.207, 21.993, -33.973, 25.63,,,,,,,,,,,,,,,,
 01:23:18.965,COM12,, 0.4727, -0.7642, 0.4434, -1.8921, -1.1597, 1.4038, -59.332, -28.092, 127.046, 7.267, 21.927, -33.960, 25.60,,,,,,,,,,,,,,,,
 01:23:19.058,COM12,, 0.4702, -0.7666, 0.4448, -1.8311, 0.0000, 0.6714, -59.387, -28.070, 127.145, 7.273, 21.960, -33.740, 25.63,,,,,,,,,,,,,,,,
 01:23:19.167,COM12,, 0.4717, -0.7510, 0.4585, -2.1362, -0.9766, 0.7935, -59.354, -28.065, 127.172, 7.260, 22.060, -33.987, 25.64,,,,,,,,,,,,,,,,
 01:23:19.259,COM12,, 0.4746, -0.7480, 0.4609, -1.9531, 0.0610, 0.2441, -59.425, -28.043, 127.189, 7.247, 22.087, -33.980, 25.61,,,,,,,,,,,,,,,,
 01:23:19.352,COM12,, 0.4761, -0.7427, 0.4727, 0.5493, 0.0000, 0.0610, -59.409, -28.037, 127.222, 7.287, 22.140, -33.947, 25.66,,,,,,,,,,,,,,,,
 01:23:19.461,COM12,, 0.4824, -0.7544, 0.4692, 0.3052, 0.4272, 0.0610, -59.436, -28.048, 127.222, 7.180, 22.147, -33.967, 25.61,,,,,,,,,,,,,,,,
 01:23:19.555,COM12,, 0.4658, -0.7505, 0.4595, 2.1362, 0.0610, -0.7935, -59.442, -28.037, 127.244, 7.240, 22.047, -33.773, 25.63,,,,,,,,,,,,,,,,
 01:23:19.664,COM12,, 0.4731, -0.7651, 0.4517, -0.4883, 0.0000, -0.9155, -59.431, -28.021, 127.233, 7.167, 22.167, -33.867, 25.60,,,,,,,,,,,,,,,,
 01:23:19.757,COM12,, 0.4653, -0.7666, 0.4473, 1.2207, 0.3662, 0.1831, -59.474, -28.010, 127.238, 7.267, 22.053, -33.767, 25.60,,,,,,,,,,,,,,,,
 01:23:19.851,COM12,, 0.4639, -0.7554, 0.4497, -0.4272, 0.0610, -0.1831, -59.414, -28.004, 127.211, 7.287, 22.033, -33.860, 25.63,,,,,,,,,,,,,,,,
 01:23:19.961,COM12,, 0.4619, -0.7700, 0.4463, 0.0610, 0.1831, 0.1831, -59.474, -27.988, 127.222, 7.267, 22.027, -34.000, 25.60,,,,,,,,,,,,,,,,
 01:23:20.055,COM12,, 0.4736, -0.7485, 0.4639, -1.3428, -0.5493, -0.7935, -59.540, -27.982, 127.205, 7.227, 22.133, -34.053, 25.63,,,,,,,,,,,,,,,,
 01:23:20.149,COM12,, 0.4775, -0.7695, 0.4507, -0.4883, 0.6104, 0.0000, -59.650, -28.125, 127.238, 7.233, 22.093, -34.013, 25.64,,,,,,,,,,,,,,,,
 01:23:20.259,COM12,, 0.4697, -0.7598, 0.4487, 1.9531, 0.0000, 0.3662, -59.568, -28.147, 127.205, 7.293, 22.200, -33.953, 25.63,,,,,,,,,,,,,,,,
 01:23:20.353,COM12,, 0.4736, -0.7656, 0.4429, -1.5869, -0.1831, -0.1221, -59.617, -28.081, 127.227, 7.260, 22.187, -34.120, 25.61,,,,,,,,,,,,,,,,
 01:23:20.463,COM12,, 0.4927, -0.7720, 0.4531, -5.9814, -5.8594, -5.5542, -60.046, -28.054, 127.249, 7.253, 22.133, -34.047, 25.58,,,,,,,,,,,,,,,,
 01:23:20.557,COM12,, 0.4639, -0.7769, 0.4082, -20.8740, -9.6436, -2.2583, -61.688, -28.455, 127.299, 7.133, 22.427, -33.787, 25.63,,,,,,,,,,,,,,,,
 01:23:20.653,COM12,, 0.4932, -0.7461, 0.4360, -0.0610, -2.0142, -0.3052, -62.243, -29.191, 127.661, 7.213, 23.320, -33.620, 25.63,,,,,,,,,,,,,,,,
 01:23:20.761,COM12,, 0.5078, -0.7783, 0.4209, 1.8921, 5.2490, 0.7324, -62.287, -29.520, 128.145, 7.320, 23.960, -33.393, 25.61,,,,,,,,,,,,,,,,
 01:23:20.854,COM12,, 0.4683, -0.7930, 0.4170, 25.0854, 8.4839, 6.2866, -60.710, -29.388, 127.886, 7.527, 24.040, -33.447, 25.60,,,,,,,,,,,,,,,,
 01:23:20.948,COM12,, 0.4624, -0.6963, 0.4663, 9.6436, 0.7324, 1.2207, -58.683, -28.746, 127.178, 8.213, 23.387, -33.673, 25.61,,,,,,,,,,,,,,,,
 01:23:21.057,COM12,, 0.4868, -0.7563, 0.4653, -8.7891, -2.6855, -2.6245, -59.139, -28.169, 127.216, 8.180, 21.920, -33.940, 25.61,,,,,,,,,,,,,,,,
 01:23:21.151,COM12,, 0.4937, -0.7437, 0.4561, -8.9722, 1.0376, -4.2725, -60.007, -28.477, 127.227, 8.053, 21.607, -34.060, 25.64,,,,,,,,,,,,,,,,
 01:23:21.261,COM12,, 0.4746, -0.7656, 0.4224, -6.0425, 0.1831, -2.0752, -60.672, -28.823, 127.084, 8.093, 22.140, -34.193, 25.60,,,,,,,,,,,,,,,,
 01:23:21.355,COM12,, 0.4756, -0.7686, 0.4131, -1.7700, -1.4038, -2.5024, -60.980, -28.878, 126.848, 8.700, 22.827, -33.853, 25.63,,,,,,,,,,,,,,,,
 01:23:21.449,COM12,, 0.4844, -0.7788, 0.4121, -3.6621, -1.0376, -0.7935, -61.172, -29.081, 126.672, 9.373, 23.227, -33.720, 25.64,,,,,,,,,,,,,,,,
 01:23:21.559,COM12,, 0.4683, -0.7627, 0.4233, 11.8408, 8.1177, 1.0986, -60.787, -29.262, 126.535, 9.627, 23.347, -33.633, 25.63,,,,,,,,,,,,,,,,
 01:23:21.652,COM12,, 0.4878, -0.7632, 0.4502, 12.5732, 4.5776, 2.0752, -59.332, -29.064, 126.145, 9.940, 23.287, -33.687, 25.63,,,,,,,,,,,,,,,,
 01:23:21.748,COM12,, 0.4634, -0.7407, 0.4590, 5.5542, 0.4883, 3.5400, -58.156, -28.718, 125.711, 10.347, 22.260, -34.000, 25.63,,,,,,,,,,,,,,,,
 01:23:21.859,COM12,, 0.4736, -0.7231, 0.4834, 1.8921, -1.7090, 0.6104, -57.887, -28.169, 125.458, 10.580, 21.260, -34.387, 25.63,,,,,,,,,,,,,,,,
 01:23:21.952,COM12,, 0.4756, -0.7427, 0.4722, -7.6904, -2.9907, -0.9155, -58.392, -28.103, 125.601, 10.340, 20.813, -34.300, 25.63,,,,,,,,,,,,,,,,
 01:23:22.047,COM12,, 0.4619, -0.7686, 0.4531, -6.8970, -2.2583, 0.0610, -59.227, -28.229, 125.815, 10.100, 20.913, -34.247, 25.64,,,,,,,,,,,,,,,,
