Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 01:50:48.025,COM12,, 0.3335, -0.8882, 0.3188, -0.2441, 0.0610, 0.0610, -70.719, -19.473, 148.815, 0.440, 27.987, -32.100, 24.90,,,,,,,,,,,,,,,,
 01:50:48.119,COM12,, 0.3291, -0.8916, 0.3101, 0.0610, -0.3662, 0.0610, -70.768, -19.479, 148.815, 0.307, 27.900, -32.127, 24.93,,,,,,,,,,,,,,,,
 01:50:48.213,COM12,, 0.3296, -0.8916, 0.3125, -0.2441, -0.3662, 0.0000, -70.807, -19.462, 148.832, 0.433, 27.927, -31.913, 24.92,,,,,,,,,,,,,,,,
 01:50:48.321,COM12,, 0.3330, -0.8882, 0.3184, -0.1831, -0.2441, 0.0000, -70.807, -19.457, 148.870, 0.387, 28.000, -31.947, 24.92,,,,,,,,,,,,,,,,
 01:50:48.416,COM12,, 0.3340, -0.8877, 0.3169, -0.1831, -0.1831, 0.0000, -70.829, -19.457, 148.909, 0.320, 27.967, -32.007, 24.93,,,,,,,,,,,,,,,,
 01:50:48.526,COM12,, 0.3286, -0.8813, 0.3218, 1.0376, -0.0610, -0.1221, -70.834, -19.446, 148.925, 0.387, 28.067, -32.160, 24.93,,,,,,,,,,,,,,,,
 01:50:48.618,COM12,, 0.3257, -0.8921, 0.3101, -0.5493, -0.1221, 0.4883, -70.889, -19.424, 148.942, 0.360, 27.980, -31.867, 24.93,,,,,,,,,,,,,,,,
 01:50:48.713,COM12,, 0.3320, -0.8896, 0.3110, 0.2441, -0.1221, -0.1221, -70.889, -19.402, 148.975, 0.273, 27.993, -32.027, 24.92,,,,,,,,,,,,,,,,
 01:50:48.822,COM12,, 0.3291, -0.8911, 0.3091, 0.3662, 0.3662, -0.1221, -70.867, -19.429, 148.975, 0.413, 27.980, -32.127, 24.92,,,,,,,,,,,,,,,,
 01:50:48.915,COM12,, 0.3325, -0.8940, 0.3145, -0.2441, 0.4272, -0.4272, -70.823, -19.429, 148.942, 0.360, 28.080, -31.927, 24.93,,,,,,,,,,,,,,,,
 01:50:49.009,COM12,, 0.3374, -0.8931, 0.3096, -0.6104, 0.3052, -0.1221, -70.807, -19.451, 148.870, 0.340, 27.940, -31.960, 24.95,,,,,,,,,,,,,,,,
 01:50:49.119,COM12,, 0.3491, -0.8965, 0.3174, -1.0986, 1.0986, 0.0610, -70.812, -19.462, 148.799, 0.360, 28.007, -32.040, 24.95,,,,,,,,,,,,,,,,
 01:50:49.213,COM12,, 0.3330, -0.8921, 0.3071, -0.7935, 0.1221, -0.1831, -70.900, -19.479, 148.716, 0.447, 27.940, -32.287, 24.95,,,,,,,,,,,,,,,,
 01:50:49.321,COM12,, 0.3315, -0.8955, 0.3027, -0.1831, -0.1221, 0.1831, -70.955, -19.435, 148.661, 0.607, 28.020, -31.987, 24.95,,,,,,,,,,,,,,,,
 01:50:49.415,COM12,, 0.3237, -0.8955, 0.3018, -0.7935, 0.0000, 0.2441, -71.016, -19.407, 148.629, 0.740, 28.080, -31.967, 24.95,,,,,,,,,,,,,,,,
 01:50:49.509,COM12,, 0.3369, -0.8901, 0.3184, -0.9155, 0.8545, 0.3662, -70.950, -19.363, 148.623, 0.727, 28.133, -32.167, 24.89,,,,,,,,,,,,,,,,
 01:50:49.618,COM12,, 0.3340, -0.8882, 0.3164, -0.7935, 0.7935, -0.1221, -71.010, -19.391, 148.579, 0.727, 28.000, -32.160, 24.92,,,,,,,,,,,,,,,,
 01:50:49.714,COM12,, 0.3315, -0.8857, 0.3193, 0.8545, 0.1221, -0.2441, -70.988, -19.336, 148.480, 0.820, 27.973, -32.220, 24.95,,,,,,,,,,,,,,,,
 01:50:49.823,COM12,, 0.3330, -0.8950, 0.3115, 0.7324, -0.1221, -0.3052, -71.010, -19.341, 148.464, 0.940, 27.993, -32.247, 24.96,,,,,,,,,,,,,,,,
 01:50:49.918,COM12,, 0.3228, -0.8892, 0.3071, 0.1221, 0.5493, 0.0000, -71.016, -19.341, 148.469, 0.833, 28.020, -32.313, 24.87,,,,,,,,,,,,,,,,
 01:50:50.012,COM12,, 0.3345, -0.8940, 0.3145, -0.3662, 0.4883, 0.1831, -71.016, -19.336, 148.453, 0.967, 28.060, -32.267, 24.96,,,,,,,,,,,,,,,,
 01:50:50.108,COM12,, 0.2734, -0.8960, 0.2554, 1.1597, -0.9155, -2.1362, -70.999, -19.325, 148.453, 0.920, 27.960, -32.140, 24.93,,,,,,,,,,,,,,,,
 01:50:50.217,COM12,, 0.3359, -0.9624, 0.2480, 6.7749, -38.3301, 14.0991, -70.582, -19.308, 148.376, 0.920, 27.993, -32.233, 24.92,,,,,,,,,,,,,,,,
 01:50:50.311,COM12,, 0.3174, -0.8232, 0.3501, 20.2026, -8.1177, 23.1323, -71.235, -19.429, 149.227, 0.453, 27.873, -32.120, 24.92,,,,,,,,,,,,,,,,
 01:50:50.409,COM12,, 0.3228, -0.9209, 0.3364, -9.9487, 7.1411, 17.2729, -71.472, -18.045, 151.897, -1.027, 29.027, -31.053, 24.92,,,,,,,,,,,,,,,,
 01:50:50.519,COM12,, 0.2437, -0.9302, 0.2734, 10.3760, -0.9766, 18.1885, -71.378, -17.177, 153.193, -1.620, 29.867, -29.853, 24.92,,,,,,,,,,,,,,,,
 01:50:50.612,COM12,, 0.2334, -0.9116, 0.3257, 13.3057, 3.2349, 13.3057, -69.868, -15.886, 152.617, -0.847, 30.207, -29.613, 24.90,,,,,,,,,,,,,,,,
 01:50:50.705,COM12,, 0.2534, -0.8950, 0.3926, 5.6152, 5.6152, -4.1504, -68.676, -14.101, 152.996, 0.000, 29.800, -29.807, 24.92,,,,,,,,,,,,,,,,
 01:50:50.815,COM12,, 0.2676, -0.8755, 0.4175, -3.8452, 8.5449, -20.5078, -68.253, -13.431, 152.902, 0.467, 29.380, -29.800, 24.92,,,,,,,,,,,,,,,,
 01:50:50.910,COM12,, 0.3135, -0.8838, 0.3682, -29.3579, -8.6060, -33.2642, -69.719, -14.211, 151.738, 0.573, 28.913, -30.187, 24.92,,,,,,,,,,,,,,,,
 01:50:51.005,COM12,, 0.2866, -0.9512, 0.2109, -14.5264, -5.0659, -24.1089, -71.834, -16.820, 150.178, 0.247, 28.773, -30.767, 24.92,,,,,,,,,,,,,,,,
 01:50:51.114,COM12,, 0.3823, -0.9014, 0.2837, 0.5493, 1.0376, -6.5308, -72.356, -20.067, 149.711, -0.460, 28.427, -31.520, 24.92,,,,,,,,,,,,,,,,
 01:50:51.208,COM12,, 0.3208, -0.8799, 0.2671, 2.6245, -1.3428, -0.2441, -72.147, -21.379, 149.875, -1.040, 28.093, -31.940, 24.92,,,,,,,,,,,,,,,,
 01:50:51.317,COM12,, 0.3975, -0.8828, 0.3140, 0.0000, -0.1831, 2.0142, -72.125, -21.248, 149.821, -1.147, 28.013, -32.000, 24.95,,,,,,,,,,,,,,,,
