Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 02:05:39.385,COM12,, 0.3613, -0.9141, 0.1846, -0.5493, -0.1221, 0.2441, -79.184, -20.951, 132.034, -1.653, 41.827, -21.453, 26.35,,,,,,,,,,,,,,,,
 02:05:39.496,COM12,, 0.3438, -0.9160, 0.1685, 0.8545, 0.1831, -0.2441, -79.222, -20.962, 131.995, -1.673, 41.707, -21.293, 26.34,,,,,,,,,,,,,,,,
 02:05:39.590,COM12,, 0.3521, -0.9189, 0.1753, -1.7090, -0.5493, 1.0986, -79.239, -20.929, 132.006, -1.600, 41.880, -21.573, 26.34,,,,,,,,,,,,,,,,
 02:05:39.683,COM12,, 0.3579, -0.9204, 0.1724, 0.3052, 1.2207, -0.6104, -79.244, -20.940, 132.023, -1.667, 41.827, -21.520, 26.37,,,,,,,,,,,,,,,,
 02:05:39.794,COM12,, 0.3589, -0.9141, 0.1797, -1.0376, 0.6104, 0.7324, -79.222, -20.934, 131.995, -1.747, 41.773, -21.340, 26.35,,,,,,,,,,,,,,,,
 02:05:39.888,COM12,, 0.3511, -0.9233, 0.1738, -0.8545, 0.0000, 0.4883, -79.299, -20.907, 131.885, -1.593, 41.880, -21.440, 26.34,,,,,,,,,,,,,,,,
 02:05:39.983,COM12,, 0.3579, -0.9155, 0.1841, -0.9155, -0.5493, 0.2441, -79.327, -20.847, 131.858, -1.500, 41.980, -21.573, 26.32,,,,,,,,,,,,,,,,
 02:05:40.092,COM12,, 0.3569, -0.9180, 0.1689, 0.4272, 0.6714, -0.3662, -79.382, -20.852, 131.874, -1.473, 41.933, -21.473, 26.35,,,,,,,,,,,,,,,,
 02:05:40.186,COM12,, 0.3550, -0.9185, 0.1807, -1.4038, -0.2441, 1.1597, -79.398, -20.847, 131.869, -1.487, 41.933, -21.247, 26.35,,,,,,,,,,,,,,,,
 02:05:40.294,COM12,, 0.3564, -0.9170, 0.1812, 0.0610, -0.3052, -0.1831, -79.431, -20.830, 131.847, -1.620, 41.960, -21.233, 26.37,,,,,,,,,,,,,,,,
 02:05:40.388,COM12,, 0.3545, -0.9194, 0.1704, -0.1221, -0.2441, 0.0000, -79.442, -20.819, 131.880, -1.587, 41.987, -21.307, 26.37,,,,,,,,,,,,,,,,
 02:05:40.482,COM12,, 0.3501, -0.9209, 0.1670, 0.0000, 0.6714, -0.3662, -79.459, -20.808, 131.907, -1.607, 42.047, -21.433, 26.35,,,,,,,,,,,,,,,,
 02:05:40.590,COM12,, 0.3579, -0.9189, 0.1777, -0.1221, 0.5493, 0.2441, -79.404, -20.825, 131.918, -1.593, 41.993, -21.360, 26.32,,,,,,,,,,,,,,,,
 02:05:40.686,COM12,, 0.3540, -0.9189, 0.1763, -0.1221, 0.3052, 0.3662, -79.404, -20.819, 131.863, -1.520, 41.987, -21.347, 26.37,,,,,,,,,,,,,,,,
 02:05:40.780,COM12,, 0.3467, -0.9229, 0.1660, 0.7935, 1.4648, -1.5259, -79.409, -20.770, 131.847, -1.487, 41.967, -21.380, 26.34,,,,,,,,,,,,,,,,
 02:05:40.891,COM12,, 0.3574, -0.9175, 0.1846, -2.2583, -0.2441, 1.0986, -79.316, -20.775, 131.781, -1.433, 41.940, -21.227, 26.34,,,,,,,,,,,,,,,,
 02:05:40.984,COM12,, 0.3521, -0.9092, 0.1719, 0.3662, 0.2441, -0.7935, -79.470, -20.819, 131.638, -1.467, 42.067, -21.240, 26.32,,,,,,,,,,,,,,,,
 02:05:41.079,COM12,, 0.3477, -0.9170, 0.1665, -0.7935, -0.0610, 0.1221, -79.497, -20.775, 131.660, -1.460, 42.053, -21.380, 26.34,,,,,,,,,,,,,,,,
 02:05:41.187,COM12,, 0.3535, -0.9092, 0.1680, -2.5024, -1.9531, -3.6621, -79.612, -20.797, 131.660, -1.420, 42.027, -21.107, 26.34,,,,,,,,,,,,,,,,
 02:05:41.279,COM12,, 0.3916, -0.9033, 0.1953, -6.4087, -2.9907, -5.0049, -80.052, -20.978, 131.715, -1.507, 42.060, -21.367, 26.31,,,,,,,,,,,,,,,,
 02:05:41.388,COM12,, 0.3877, -0.8530, 0.1855, -6.1646, -4.8218, -13.1836, -81.227, -21.561, 131.858, -1.880, 42.180, -21.120, 26.34,,,,,,,,,,,,,,,,
 02:05:41.483,COM12,, 0.3994, -0.8872, 0.1523, -9.8267, 0.6714, -1.3428, -81.475, -22.429, 132.127, -2.460, 42.547, -20.587, 26.32,,,,,,,,,,,,,,,,
 02:05:41.577,COM12,, 0.3765, -0.9043, 0.1128, -4.6997, 10.4980, -0.5493, -81.892, -23.395, 131.490, -2.900, 42.607, -20.440, 26.37,,,,,,,,,,,,,,,,
 02:05:41.688,COM12,, 0.3394, -0.9155, 0.0786, -4.8828, 24.0479, 8.0566, -81.480, -23.593, 130.666, -2.680, 42.907, -20.247, 26.35,,,,,,,,,,,,,,,,
 02:05:41.782,COM12,, 0.3755, -0.8979, 0.1543, 12.1460, 0.6714, 0.5493, -80.217, -22.440, 128.743, -1.400, 43.267, -20.687, 26.34,,,,,,,,,,,,,,,,
 02:05:41.876,COM12,, 0.3901, -0.9180, 0.1616, -1.5259, -1.4648, -3.0518, -80.145, -21.929, 128.051, -0.333, 43.007, -21.220, 26.35,,,,,,,,,,,,,,,,
 02:05:41.985,COM12,, 0.4272, -0.9292, 0.1504, -40.4663, -6.8970, -2.1973, -82.639, -22.022, 128.386, -0.207, 42.673, -21.640, 26.34,,,,,,,,,,,,,,,,
 02:05:42.079,COM12,, 0.3618, -0.9302, 0.0356, -14.2212, -11.9629, -7.5073, -85.353, -22.731, 128.897, -0.527, 43.440, -20.907, 26.31,,,,,,,,,,,,,,,,
 02:05:42.174,COM12,, 0.3804, -0.9238, 0.0283, -1.3428, -17.9443, -4.5776, -86.721, -23.181, 129.765, -1.073, 44.727, -19.293, 26.35,,,,,,,,,,,,,,,,
 02:05:42.285,COM12,, 0.3979, -0.9136, 0.0220, 6.9580, -14.6484, -3.2959, -87.204, -23.807, 131.770, -2.200, 45.293, -18.340, 26.34,,,,,,,,,,,,,,,,
