Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 02:19:28.668,COM12,, 0.3774, -0.9053, 0.1724, -0.7935, 0.1831, 0.4272, -80.068, -22.462, 139.614, 6.400, 34.887, -31.207, 26.13,,,,,,,,,,,,,,,,
 02:19:28.762,COM12,, 0.3896, -0.9111, 0.1670, -0.4883, -0.2441, 0.6714, -80.085, -22.434, 139.598, 6.387, 34.847, -31.367, 26.14,,,,,,,,,,,,,,,,
 02:19:28.872,COM12,, 0.3789, -0.9097, 0.1675, -0.4272, -0.3052, 0.3662, -80.041, -22.451, 139.620, 6.467, 34.867, -31.387, 26.11,,,,,,,,,,,,,,,,
 02:19:28.966,COM12,, 0.3784, -0.9136, 0.1631, -1.2817, -0.0610, 0.1221, -80.046, -22.440, 139.614, 6.513, 34.820, -31.347, 26.14,,,,,,,,,,,,,,,,
 02:19:29.074,COM12,, 0.3848, -0.9106, 0.1641, -0.8545, -0.2441, 0.3052, -80.035, -22.451, 139.598, 6.500, 34.867, -31.280, 26.14,,,,,,,,,,,,,,,,
 02:19:29.168,COM12,, 0.3804, -0.9067, 0.1714, -0.2441, -0.2441, 0.0610, -80.030, -22.456, 139.598, 6.433, 34.900, -31.393, 26.13,,,,,,,,,,,,,,,,
 02:19:29.262,COM12,, 0.3818, -0.9077, 0.1680, -0.1831, -0.0610, 0.3052, -80.024, -22.467, 139.587, 6.407, 34.873, -31.273, 26.14,,,,,,,,,,,,,,,,
 02:19:29.357,COM12,, 0.3789, -0.9116, 0.1641, 0.0000, -0.1221, -0.3052, -80.024, -22.478, 139.570, 6.393, 34.833, -31.273, 26.14,,,,,,,,,,,,,,,,
 02:19:29.468,COM12,, 0.3799, -0.9063, 0.1650, -0.0610, 0.0610, -0.0610, -80.002, -22.495, 139.570, 6.367, 34.767, -31.313, 26.13,,,,,,,,,,,,,,,,
 02:19:29.562,COM12,, 0.3823, -0.9097, 0.1641, -0.1221, -0.1831, -0.0610, -80.002, -22.511, 139.570, 6.340, 34.780, -31.260, 26.10,,,,,,,,,,,,,,,,
